iso3,country_name,year,start_date,start_date_accuracy,end_date,end_date_accuracy,event_name,hazard_category,hazard_category_name,hazard_sub_category,hazard_sub_category_name,hazard_type,hazard_type_name,hazard_sub_type,hazard_subtype_name,new_displacement,new_displacement_rounded,total_displacement,total_displacement_rounded,event_codes
RUS,Russian Federation,2018,2018-05-10,Week,2018-05-13,Week,Russian Federation: flood - Yakutia - 10/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,734,730,,,[]
AUS,Australia,2018,2018-05-11,Week,2018-05-11,Week,Australia: Flash floods - Tasmania - 11/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,4,4,,,[]
IDN,Indonesia,2018,2018-05-11,Day,2018-05-12,Day,Indonesia: Volcanic activtiy (Mount Merapi) - Java - 11/5/2018,1,Geophysical,1,Geophysical,3,Volcanic activity,5,,8890,8900,,,[]
USA,United States of America,2018,2018-05-11,Day,2018-05-12,Week,POSSIBLY HUMAN INDUCED United States: Viewpoint fire - Yavapai; Arizona - 11/05/2018,2,Weather related,2,Climatological,9,Wildfire,11,,400,400,,,[]
MMR,Myanmar,2018,2018-05-11,Day,2018-05-19,Day,Myanmar: Storms - Ayeyarwady - 11/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,2236,2200,,,[]
AFG,Afghanistan,2018,2018-05-12,Day,2018-05-12,Day,Afghanistan: Landslide - Takhar - 12/05/2018 (IOM event),2,Weather related,3,Hydrological,11,Mass Movement,15,,533,530,,,[]
LKA,Sri Lanka,2018,2018-05-12,Day,2018-05-12,Day,Sri Lanka: Rock fall - Ehaliyagoda - 12/05/2018,1,Geophysical,1,Geophysical,2,Mass Movement,3,,30,30,,,[]
URY,Uruguay,2018,2018-05-12,Day,2018-05-13,Day,Uruguay: flood - Rivera - 12/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,30,30,,,[]
CAN,Canada,2018,2018-05-12,Day,2018-05-16,Day,Canada: Wildfire - Saskatchewan - 12/5/2018,2,Weather related,2,Climatological,9,Wildfire,11,,937,940,,,[]
COD,Democratic Republic of the Congo,2018,2018-05-13,Day,2018-05-13,Day,DRC: Storm - Nyiragongo; North Kivu - 13/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,357,360,,,[]
LKA,Sri Lanka,2018,2018-05-13,Day,2018-05-13,Day,Sri Lanka: Tre fall [storm] - Kegalle - 13/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,39,39,,,[]
MMR,Myanmar,2018,2018-05-13,Day,2018-05-13,Day,Myanmar: Storm - Rakhine - 13/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,5,5,,,[]
NPL,Nepal,2018,2018-05-13,Day,2018-05-13,Day,Nepal: Storm - Siddarthanagar Municipality; Rupandehi - 13/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,4,4,,,[]
CHN,China,2018,2018-05-13,Day,2018-05-14,Day,China: Landslide - Shaanxi - 13/5/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,4,4,,,[]
KGZ,Kyrgyzstan,2018,2018-05-13,Day,2018-05-14,Day,Kyrgyzstan: flash flood - Batken; Osh - 13/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,10,10,,,[]
IND,India,2018,2018-05-13,Day,2018-05-16,Day,India: Storm - Uttar Pradesh; Andhra Pradesh; West Bengal; Delhi; Uttarakhand - 13/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,200,200,,,[]
NPL,Nepal,2018,2018-05-14,Day,2018-05-14,Day,Nepal: Landslide - Annapurna Rural Municipality; Myagdi - 14/05/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,17,17,,,[]
NPL,Nepal,2018,2018-05-14,Day,2018-05-14,Day,Nepal: Storm - Gaushala Municipality; Mahottari - 14/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,4,4,,,[]
NPL,Nepal,2018,2018-05-14,Day,2018-05-14,Day,Nepal: Storm - Pheta Rural Municipality; Bara - 14/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,17,17,,,[]
NPL,Nepal,2018,2018-05-14,Day,2018-05-14,Day,Nepal: Storm - Susta Rural Municipality; Nawalparasi - 14/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,4,4,,,[]
IDN,Indonesia,2018,2018-05-15,Day,2018-05-15,Day,Indonesia: Flood - Banyuwangi Regency (East Java) - 15/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,30,30,,,[]
CHN,China,2018,2018-05-15,Day,2018-05-17,Day,China: Flood - Hubei - 15/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,100,100,,,[]
CHN,China,2018,2018-05-15,Day,2018-05-18,Day,"China, East: Heavy Rain - Anhui, Jiangsu - 15/5/2018",2,Weather related,4,Meteorological,14,Storm,21,,800,800,,,[]
CHN,China,2018,2018-05-15,Day,2018-05-18,Day,"China, South West: Heavy Rain - Chongqing, Guizhou - 15/5/2018",2,Weather related,4,Meteorological,14,Storm,21,,1400,1400,,,[]
ZWE,Zimbabwe,2018,2018-05-15,Day,2018-05-18,Day,Zimbabwe: Flash flood - Matabeleland South; Masvingo; Midlands; Manicaland - 15/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,780,780,,,[]
SLV,El Salvador,2018,2018-05-15,Week,2018-06-01,Day,El Salvador: Rainy season - 4 departments- May 2018,2,Weather related,3,Hydrological,10,Flood,13,,8,8,,,[]
UGA,Uganda,2018,2018-05-16,Day,2018-05-17,Day,Uganda: Lanslides - Manafwa - 16/05/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,200,200,,,[]
TJK,Tajikistan,2018,2018-05-16,Day,2018-05-26,Week,Tajikistan: Flood - Farkhor district; Panj district; Khatlon province - 16/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,5429,5400,,,[]
AFG,Afghanistan,2018,2018-05-17,Day,2018-05-17,Day,Afghanistan: Landslide - Takhar - 17/05/2018 (OCHA; IOM; media event),2,Weather related,3,Hydrological,11,Mass Movement,15,,192,190,,,[]
NGA,Nigeria,2018,2018-05-17,Day,2018-05-18,Day,Nigeria: Rainstorm (Katsina State) - 17/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,2000,2000,,,[]
CHN,China,2018,2018-05-17,Day,2018-05-21,Day,"China, East: Heavy Rain - Anhui - 17/5/2018",2,Weather related,4,Meteorological,14,Storm,21,,200,200,,,[]
CHN,China,2018,2018-05-17,Day,2018-05-21,Day,"China: Heavy Rain/Flood - Henan, Hubei, Hunan (South Central China) - 17/5/2018",2,Weather related,4,Meteorological,14,Storm,21,,7000,7000,,,[]
COL,Colombia,2018,2018-05-18,Day,2018-05-18,Day,Colombia: Flood - Sucre - 18/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,7,7,,,[]
LKA,Sri Lanka,2018,2018-05-18,Week,2018-05-31,Month,Sri Lanka: Southwest monsoon - 18/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,75013,75000,,,['FL-2018-000060-LKA']
AFG,Afghanistan,2018,2018-05-19,Day,2018-05-19,Day,Afghanistan: Avalanche - Bamyan - 19/05/2018 (IOM event),2,Weather related,3,Hydrological,11,Mass Movement,14,,207,210,,,[]
IDN,Indonesia,2018,2018-05-19,Day,2018-05-19,Day,Indonesia: Riverine Flood - Bukit Tinggi (West Sumatra) - 19/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,240,240,,,[]
NPL,Nepal,2018,2018-05-19,Day,2018-05-19,Day,Nepal: Storm - Shivraj Municipality; Kapilbastu - 19/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,4,4,,,[]
DJI,Djibouti,2018,2018-05-19,Day,2018-05-20,Day,"Djibouti, Ethiopia, Somalia, Yemen: Tropical Cyclone Sagar - 19/05/2018",2,Weather related,4,Meteorological,14,Storm,21,,9365,9400,,,['TC-2018-000059-SOM']
ETH,Ethiopia,2018,2018-05-19,Day,2018-05-20,Day,"Djibouti, Ethiopia, Somalia, Yemen: Tropical Cyclone Sagar - 19/05/2018",2,Weather related,4,Meteorological,14,Storm,21,,4050,4000,,,['TC-2018-000059-SOM']
SOM,Somalia,2018,2018-05-19,Day,2018-05-20,Day,"Djibouti, Ethiopia, Somalia, Yemen: Tropical Cyclone Sagar - 19/05/2018",2,Weather related,4,Meteorological,14,Storm,21,,8876,8900,,,['TC-2018-000059-SOM']
UGA,Uganda,2018,2018-05-19,Week,2018-05-20,Week,Uganda: Flood - Bulambuli - 19/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,10,10,,,[]
MMR,Myanmar,2018,2018-05-20,Day,2018-05-20,Day,Myanmar: Storm - Rakhine - 20/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,5,5,,,[]
CHN,China,2018,2018-05-20,Day,2018-05-22,Day,China: Heavy Rain - Shaanxi - 20/5/2018,2,Weather related,4,Meteorological,14,Storm,21,,100,100,,,[]
CHN,China,2018,2018-05-20,Day,2018-05-23,Day,"China: Heavy Rain/Flood - Chongqing, Guizhou, Sichuan (Southwest China) - 20/5/2018",2,Weather related,4,Meteorological,14,Storm,21,,6400,6400,,,[]
MMR,Myanmar,2018,2018-05-20,Day,2018-05-30,Day,Myanmar: Riverbank erosion - Ayeyarwady region - May 2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,168,170,,,[]
MMR,Myanmar,2018,2018-05-20,Day,2018-05-31,Day,Myanmar: Storms - Ayeyarwady - 20/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,469,470,,,[]
HND,Honduras,2018,2018-05-20,Week,2018-06-19,Day,Honduras: rainy season - 6 departments - May 2018,2,Weather related,3,Hydrological,10,Flood,13,,159,160,,,[]
CHL,Chile,2018,2018-05-20,Week,2018-07-31,Week,Chile: Cold front - 5 regions - May 2018,2,Weather related,4,Meteorological,13,Extreme Temperature,17,,2504,2500,,,[]
THA,Thailand,2018,2018-05-21,Day,2018-05-21,Day,Thailand: Storm - Mae Hong Son - 21/5/2018,2,Weather related,4,Meteorological,14,Storm,21,,6,6,,,[]
VNM,Viet Nam,2018,2018-05-21,Day,2018-05-21,Day,VietNam: Landslide - Can Tho City - 21/5/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,109,110,,,[]
CHN,China,2018,2018-05-21,Day,2018-05-22,Day,China: Heavy Rain - Henan - 21/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,800,800,,,[]
CAN,Canada,2018,2018-05-21,Week,2018-05-23,Week,Canada: Wildfires - Manitoba - 21/5/2018,2,Weather related,2,Climatological,9,Wildfire,11,,2300,2300,,,[]
IDN,Indonesia,2018,2018-05-21,Day,2018-05-23,Day,Indonesia: Volcanic activtiy (Mount Merapi) - Java - 21/5/2018,1,Geophysical,1,Geophysical,3,Volcanic activity,5,,660,660,,,[]
IDN,Indonesia,2018,2018-05-21,Day,2018-05-25,Day,Indonesia: Flood - North Konawe Regency (Southeast Sulawesi) - 21/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,37,37,,,[]
MMR,Myanmar,2018,2018-05-21,Day,2018-05-29,Day,Myanmar: Riverbank erosion - Sagaing region - 21/05/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,60,60,,,[]
MMR,Myanmar,2018,2018-05-22,Day,2018-05-22,Day,Myanmar: Riverbank erosion - Hinthada; Ayeyarwady - 22/05/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,32,32,,,[]
NGA,Nigeria,2018,2018-05-22,Day,2018-05-22,Day,Nigeria: Windstorm - Jere (Borno State) - May 2018,2,Weather related,4,Meteorological,14,Storm,21,,3000,3000,,,[]
BEL,Belgium,2018,2018-05-22,Day,2018-06-23,Day,Belgium: flood - Hainaut - 22/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,50,50,,,[]
UGA,Uganda,2018,2018-05-23,Day,2018-05-23,Day,Uganda: Landslides - Namisindwa - 23/05/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,1470,1500,,,[]
GIN,Guinea,2018,2018-05-23,Day,2018-05-24,Day,Guinea: Storm - Mandiana - 23/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,2416,2400,,,[]
IDN,Indonesia,2018,2018-05-23,Day,2018-05-25,Day,Indonesia: Flood - Kuningan (West Java) - 23/5/2018,2,Weather related,4,Meteorological,14,Storm,21,,337,340,,,[]
IDN,Indonesia,2018,2018-05-23,Day,2018-05-25,Day,Indonesia: Flood - Pekalongan (Central Java) - 23/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,1012,1000,,,[]
IDN,Indonesia,2018,2018-05-23,Day,2018-05-25,Day,Indonesia: Flood - Tegal (Central Java) - 23/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,160,160,,,[]
OMN,Oman,2018,2018-05-23,Day,2018-05-25,Day,Yemen; Oman: tropical cyclone Mekunu - Socotra; Dhofar - 24/05/2018,2,Weather related,4,Meteorological,14,Storm,24,,10000,10000,,,[]
YEM,Yemen,2018,2018-05-23,Day,2018-05-25,Day,Yemen; Oman: tropical cyclone Mekunu - Socotra; Dhofar - 24/05/2018,2,Weather related,4,Meteorological,14,Storm,24,,8988,9000,,,[]
NIC,Nicaragua,2018,2018-05-24,Day,2018-05-27,Day,Nicaragua: flood - Nueva Segovia - 27/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,144,140,,,[]
CUB,Cuba,2018,2018-05-25,Day,2018-06-01,Day,"Cuba, USA: Subtropical storm Alberto - 28/05/2018",2,Weather related,4,Meteorological,14,Storm,24,,51580,52000,,,[]
USA,United States of America,2018,2018-05-25,Day,2018-06-01,Day,"Cuba, USA: Subtropical storm Alberto - 28/05/2018",2,Weather related,4,Meteorological,14,Storm,24,,200,200,,,[]
ETH,Ethiopia,2018,2018-05-26,Day,2018-05-26,Day,Ethiopia: Landslide - SNNPR - 26/05/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,654,650,,,[]
KHM,Cambodia,2018,2018-05-26,Day,2018-05-26,Day,Cambodia: Storm - Kampong Cham - 26/5/2018,2,Weather related,4,Meteorological,14,Storm,21,,92,92,,,[]
MMR,Myanmar,2018,2018-05-26,Day,2018-05-30,Day,Myanmar: Storm - Taunggyi; Lashio; Shan state - 26/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,14,14,,,[]
MYS,Malaysia,2018,2018-05-27,Day,2018-05-27,Week,Malaysia: Flood - Kedah - 27/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,804,800,,,[]
MYS,Malaysia,2018,2018-05-27,Day,2018-05-27,Week,Malaysia: Flood - Negeri Sembilan - 27/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,7,7,,,[]
MYS,Malaysia,2018,2018-05-27,Day,2018-05-27,Week,Malaysia: Flood - Penang - 27/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,776,780,,,[]
MYS,Malaysia,2018,2018-05-27,Day,2018-05-27,Week,Malaysia: Flood - Perak - 27/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,1343,1300,,,[]
MYS,Malaysia,2018,2018-05-27,Day,2018-05-27,Week,Malaysia: Flood - Selangor - 27/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,139,140,,,[]
SWZ,Eswatini,2018,2018-05-27,Day,2018-05-27,Day,Swaziland: Tornado - Nkhaba - 27/05/2018,2,Weather related,4,Meteorological,14,Storm,23,,24,24,,,[]
USA,United States of America,2018,2018-05-27,Day,2018-05-29,Day,USA: Flood - Baltimore (Maryland) - 27/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,6,6,,,[]
USA,United States of America,2018,2018-05-27,Day,2018-05-30,Day,USA: Flood - Ellicott City (Maryland) - 27/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,60,60,,,[]
FRA,France,2018,2018-05-28,Day,2018-05-28,Day,France: mudslide - Marcilly - 28/05/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,2,2,,,[]
MMR,Myanmar,2018,2018-05-28,Day,2018-05-28,Day,Myanmar: Flood - Sagaing region - 28/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,6,6,,,[]
NPL,Nepal,2018,2018-05-28,Day,2018-05-28,Day,Nepal: Flash flood - Mandavi Rural Municipality; Pyuthan - 28/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,4,4,,,[]
CHN,China,2018,2018-05-28,Day,2018-05-30,Day,"China, North East: Floods - Jilin - 28/5/2018",2,Weather related,3,Hydrological,10,Flood,13,,100,100,,,[]
CHN,China,2018,2018-05-29,Day,2018-05-29,Day,"China, North East: Earthquake - Jilin - 29/5/2018",1,Geophysical,1,Geophysical,1,Earthquake,1,,4677,4700,,,[]
IDN,Indonesia,2018,2018-05-29,Day,2018-05-29,Day,Indonesia: Floods - Bonebolango (Gorontalo Province) - 29/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,200,200,,,[]
MMR,Myanmar,2018,2018-05-29,Day,2018-05-29,Week,Myanmar: Storm - Mon state - 29/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,18,18,,,[]
MYS,Malaysia,2018,2018-05-29,Day,2018-05-29,Week,Malaysia: Flood - Kedah - 29/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,1359,1400,,,[]
MMR,Myanmar,2018,2018-05-29,Day,2018-05-30,Day,Myanmar: Storm - Rakhine; Yangon - 29/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,244,240,,,[]
COL,Colombia,2018,2018-05-29,Day,2018-06-13,Day,Colombia: Galeras Volcano - Nariño -29/05/2018,1,Geophysical,1,Geophysical,1,Earthquake,1,,370,370,,,[]
IND,India,2018,2018-05-29,Day,2018-10-01,Day,India: Southwest monsoon - 29/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,1967258,1967000,,,['FL-2018-000134-IND']
IDN,Indonesia,2018,2018-05-30,Day,2018-05-30,Day,Indonesia: Floods - Pulau Talibu Regency (North Maluku) - 30/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,123,120,,,[]
KHM,Cambodia,2018,2018-05-30,Day,2018-05-30,Day,Cambodia: Storm - Chol Kiri (Kampong Chhnang) - 30/5/2018,2,Weather related,4,Meteorological,14,Storm,21,,5,5,,,[]
MMR,Myanmar,2018,2018-05-30,Day,2018-05-30,Day,Myanmar: Flood - Bago region - 30/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,1975,2000,,,[]
MYS,Malaysia,2018,2018-05-30,Day,2018-05-30,Week,Malaysia: Flood - Johor - 30/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,59,59,,,[]
MYS,Malaysia,2018,2018-05-30,Day,2018-05-30,Week,Malaysia: Flood - Sarawak - 30/5/2018,2,Weather related,3,Hydrological,10,Flood,13,,182,180,,,[]
SYR,Syrian Arab Republic,2018,2018-05-30,Day,2018-05-30,Day,Syria: Storm - Raqqa - 30/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,4333,4300,,,[]
TZA,United Republic of Tanzania,2018,2018-05-30,Day,2018-05-30,Week,Tanzania: Flood - Marwa; Ruvu Mferejini; Ruvu Jiungeni; Kilimanjaro Region - 30/05/2018,2,Weather related,3,Hydrological,10,Flood,12,,5700,5700,,,[]
CHN,China,2018,2018-05-30,Day,2018-05-31,Day,China: Heavy Rain - Hunan - 30/5/2018,2,Weather related,4,Meteorological,14,Storm,21,,156,160,,,[]
FRA,France,2018,2018-05-30,Day,2018-05-31,Day,France: flood - Gironde - 30/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,12,12,,,[]
IDN,Indonesia,2018,2018-05-31,Day,2018-05-31,Day,Indonesia: Floods - Southeast Minahasa Regency (North Sulawesi) - 31/5/2018,2,Weather related,4,Meteorological,14,Storm,21,,70,70,,,[]
USA,United States of America,2018,2018-05-31,Day,2018-05-31,Day,USA: Storm - Kentucky - 31/5/2018,2,Weather related,4,Meteorological,14,Storm,21,,2,2,,,[]
CHE,Switzerland,2018,2018-05-31,Day,2018-06-01,Day,Switzerland: floods - Yverdon -31/05/2018,2,Weather related,3,Hydrological,10,Flood,13,,4,4,,,[]
FRA,France,2018,2018-05-31,Day,2018-06-01,Day,France: storms - Lot-et-Garonne - 31/05/2018,2,Weather related,4,Meteorological,14,Storm,21,,43,43,,,[]
USA,United States of America,2018,2018-05-31,Day,2018-06-13,Day,USA: Wildfire - Ute Park (New Mexico) - 31/5/2018,2,Weather related,2,Climatological,9,Wildfire,11,,2200,2200,,,[]
IND,India,2018,2018-05-31,Week,2018-06-30,Week,India: Forest fire - Kangra - May 2018,2,Weather related,2,Climatological,9,Wildfire,11,,9,9,,,[]
CZE,Czechia,2018,2018-06-01,Day,2018-06-01,Week,Czech Republic: Floods - Brtnice town - 01/06/2018,2,Weather related,3,Hydrological,10,Flood,13,,12,12,,,[]
MYS,Malaysia,2018,2018-06-01,Day,2018-06-01,Day,Malaysia: Floods - Sabah - 1/6/2018,2,Weather related,3,Hydrological,10,Flood,13,,57,57,,,[]
SRB,Serbia,2018,2018-06-01,Week,2018-06-01,Week,Serbia: Floods - Lazarevac - June 2018,2,Weather related,3,Hydrological,10,Flood,13,,102,100,,,[]
IDN,Indonesia,2018,2018-06-01,Day,2018-06-02,Day,Indonesia: Volcanic activtiy (Mount Merapi) - Java - 1/6/2018,1,Geophysical,1,Geophysical,3,Volcanic activity,5,,700,700,,,[]
USA,United States of America,2018,2018-06-01,Day,2018-06-02,Week,USA: Wildfire - Laguna Beach (California) - 1/6/2018,2,Weather related,2,Climatological,9,Wildfire,11,,5577,5600,,,[]
USA,United States of America,2018,2018-06-01,Day,2018-06-13,Week,"USA: Wildfire (416) - San Juan County, La Plata County (Colorado) - 1/6/2018",2,Weather related,2,Climatological,9,Wildfire,11,,5200,5200,,,[]
BDI,Burundi,2018,2018-06-01,Day,2018-06-30,Day,Burundi: Flash floods - Cibitoke - June 2018,2,Weather related,3,Hydrological,10,Flood,13,,6,6,,,[]
BDI,Burundi,2018,2018-06-01,Day,2018-06-30,Day,Burundi: Landslide - Bujumbura Mairie - June 2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,6,6,,,[]
BDI,Burundi,2018,2018-06-01,Day,2018-06-30,Day,Burundi: Storms - Cankuzo; Cibitoke - June 2018,2,Weather related,4,Meteorological,14,Storm,21,,33,33,,,[]
BGD,Bangladesh,2018,2018-06-01,Day,2018-06-30,Day,Bangladesh: Landslide risk - Chittagong district - June 2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,2478,2500,,,[]
MMR,Myanmar,2018,2018-06-01,Week,2018-08-31,Week,Myanmar: Monsoon floods - 01/06/2018,2,Weather related,3,Hydrological,10,Flood,13,,268438,268000,,,"['FL-2018-000124-MMR', 'FL-2019-000081-MMR']"
CHN,China,2018,2018-06-02,Day,2018-06-06,Day,China; VietNam: Tropical Cyclone Ewiniar - 02/06/2018,2,Weather related,4,Meteorological,14,Storm,24,,141800,142000,,,['LS-2018-000069-CHN']
VNM,Viet Nam,2018,2018-06-02,Day,2018-06-06,Day,China; VietNam: Tropical Cyclone Ewiniar - 02/06/2018,2,Weather related,4,Meteorological,14,Storm,24,,7,7,,,['LS-2018-000069-CHN']
PHL,Philippines,2018,2018-06-02,Day,2018-06-11,Day,Philippines: Flooding - Maguindanao (ARMM) - 2/6/2018,2,Weather related,3,Hydrological,10,Flood,13,,199710,200000,,,[]
COL,Colombia,2018,2018-06-02,Week,2018-08-31,Week,Colombia: flood - Orinoquía region - June,2,Weather related,3,Hydrological,10,Flood,13,,1721,1700,,,[]
GTM,Guatemala,2018,2018-06-03,Day,2018-06-03,Day,"Guatemala: Volcanic Eruption - Guatemala, Chimaltenango, Sacatepéquez, Escuintla  - 3/6/2018",1,Geophysical,1,Geophysical,3,Volcanic activity,5,,12823,13000,,,['VO-2018-000066-GTM']
CAF,Central African Republic,2018,2018-06-03,Day,2018-06-04,Day,CAR: Flood - Bangui - 03/06/2018,2,Weather related,3,Hydrological,10,Flood,13,,1835,1800,,,[]
CHN,China,2018,2018-06-03,Day,2018-06-04,Day,China: Heavy Rain - Guangxi - 3/6/2018,2,Weather related,4,Meteorological,14,Storm,21,,50,50,,,['FL-2018-000068-CHN']
SSD,South Sudan,2018,2018-06-03,Day,2018-06-04,Day,South Sudan: Storm - Unity - 03/06/2018,2,Weather related,4,Meteorological,14,Storm,21,,200,200,,,[]
FRA,France,2018,2018-06-03,Day,2018-06-06,Day,France: storms - Brittany; Normandy; Bourgogne-Franche-Comte - 03/06/2018,2,Weather related,4,Meteorological,14,Storm,21,,120,120,,,[]
MYS,Malaysia,2018,2018-06-04,Day,2018-06-04,Day,Malaysia: Floods - Johor - 4/6/2018,2,Weather related,3,Hydrological,10,Flood,13,,51,51,,,[]
MYS,Malaysia,2018,2018-06-04,Day,2018-06-04,Day,Malaysia: Floods - Kedah - 4/6/2018,2,Weather related,3,Hydrological,10,Flood,13,,152,150,,,[]
MYS,Malaysia,2018,2018-06-04,Day,2018-06-04,Day,Malaysia: Floods - Sabah - 4/6/2018,2,Weather related,3,Hydrological,10,Flood,13,,36,36,,,[]
NZL,New Zealand,2018,2018-06-04,Day,2018-06-04,Day,New Zealand: Flood - Tolaga - 04/06/2018,2,Weather related,3,Hydrological,10,Flood,13,,20,20,,,[]
PAK,Pakistan,2018,2018-06-04,Day,2018-06-04,Day,Pakistan: Storm - Azad Jammu and Kashmir; Bagh - 05/06/2018,2,Weather related,4,Meteorological,14,Storm,21,,134,130,,,[]
THA,Thailand,2018,2018-06-05,Day,2018-06-05,Day,Thailand: Storm - Phuket - 5/6/2018,2,Weather related,4,Meteorological,14,Storm,21,,45,45,,,[]
SWE,Sweden,2018,2018-06-05,Week,2018-06-06,Day,Sweden: Forest fire - Sala - 04/06/2018,2,Weather related,2,Climatological,9,Wildfire,11,,25,25,,,[]
PHL,Philippines,2018,2018-06-05,Day,2018-06-11,Day,"Philippines: Southwest Monsoon (incl. Tropical Depression ""Domeng"" / Maliksi) - 5/6/2018",2,Weather related,4,Meteorological,14,Storm,21,,1548,1500,,,[]
AFG,Afghanistan,2018,2018-06-06,Day,2018-06-06,Day,Afghanistan: Riverbank erosion - Kama; Nangarhar - 06/06/2018 (IOM event),2,Weather related,3,Hydrological,11,Mass Movement,15,,2072,2100,,,[]
COL,Colombia,2018,2018-06-06,Day,2018-11-07,Week,Colombia: Flood - Choco - 06/06/2018,2,Weather related,3,Hydrological,10,Flood,13,,1110,1100,,,[]
AFG,Afghanistan,2018,2018-06-07,Day,2018-06-07,Day,Afghanistan: Riverbank erosion - Chawki; Kunar - 07/06/2018 (IOM event),2,Weather related,3,Hydrological,11,Mass Movement,15,,111,110,,,[]
LKA,Sri Lanka,2018,2018-06-07,Day,2018-06-07,Day,Sri Lanka: Storm - Galle - 07/06/2018,2,Weather related,4,Meteorological,14,Storm,21,,7,7,,,[]
LKA,Sri Lanka,2018,2018-06-07,Day,2018-06-07,Day,Sri Lanka: Storm - Pallepola; Matale - 07/06/2018,2,Weather related,4,Meteorological,14,Storm,21,,4,4,,,[]
ITA,Italy,2018,2018-06-07,Day,2018-06-08,Day,Italy: Landslide/Wet mass movement - Piemont (Bussoleno) - 07/06/2018,2,Weather related,3,Hydrological,11,Mass Movement,15,,200,200,,,[]
USA,United States of America,2018,2018-06-07,Day,2018-06-12,Day,USA: Wildfire (Soldier) - Mescalero Apache Reservation (New Mexico) - 5/6/2018,2,Weather related,2,Climatological,9,Wildfire,11,,260,260,,,[]
USA,United States of America,2018,2018-06-08,Day,2018-06-08,Day,USA: Flood - Mason City (Iowa) - 8/6/2018,2,Weather related,3,Hydrological,10,Flood,13,,32,32,,,[]
COL,Colombia,2018,2018-06-08,Day,2018-06-09,Day,Colombia: mass movement / Dry Mass Movement - Antioquia - 08/06/2018,1,Geophysical,1,Geophysical,2,Mass Movement,3,,59,59,,,[]
