"code","iso","country","PFL.ind.1995","PFL.ind.1996","PFL.ind.1997","PFL.ind.1998","PFL.ind.1999","PFL.ind.2000","PFL.ind.2001","PFL.ind.2002","PFL.ind.2003","PFL.ind.2004","PFL.ind.2005","PFL.ind.2006","PFL.ind.2007","PFL.ind.2008","PFL.ind.2009","PFL.ind.2010","PFL.ind.2011","PFL.ind.2012","PFL.ind.2013","PFL.ind.2014","PFL.ind.2015","PFL.ind.2016","PFL.ind.2017","PFL.ind.2018","PFL.ind.2019","PFL.ind.2020","PFL.ind.2021","PFL.ind.2022","PFL.ind.2023","PFL.ind.2024"
462,"MDV","Maldives",87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,84.5,82.1,80.3,78.8,72.1,74.2,75.3,74.1,72.4,79.1,74.5,70.1,70.1,70.1,70.1,70.1,70.1,70.1
466,"MLI","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,"MLT","Malta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,"MUS","Mauritius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,"MEX","Mexico",71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,69.1,67.3,63.2,62.5,61.2,61.3,60.5,63.4,62.7,60.2,57.1,56.2,52.3,49.4,50.6,52,52,52
583,"FSM","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"MDA","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"MNE","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,"MAR","Morocco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,"MOZ","Mozambique",75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,74.6,71.1,67.7,63.5,65.1,62.8,57.2,55.7,56.4,50.8,37.1,38.7,38.1,39,41.8,58.3,58.3,58.3
104,"MMR","Myanmar",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,75.1,73.7,71.4,69.5,69.3,69,68.2,68.1,68,65.1,64.5,64.1,64.5,64.2,65.2,65.3,65.3,65.3
516,"NAM","Namibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,93.1,92.6,93.2,91.6,92.1,92.9,93.2,93.9,96.3,96.6,96.1,94.9,94.3,93.6,93.2,92.8,93.4,93.4,93.4
528,"NLD","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,"NIC","Nicaragua",62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,48.7,47.7,43.8,38.9,37.6,45,43.2,41.3,46.4,37.7,16.9,15.2,14.2,10.9,10.3,22.8,22.8,22.8
562,"NER","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,"NGA","Nigeria",74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,74.3,77.9,75.4,74.6,70.1,67,64.6,63.1,59.6,60.4,57.7,52.4,48.9,48.2,45.1,45.1,46.6,46.6,46.6
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,"NOR","Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,"OMN","Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,"PAK","Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,"PLW","Palau",85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,85.9,84.9,81.2,80.4,81,81.4,84.9,88.8,87.2,86.9,87.3,85.5,87.5,96.7,96.2,96.8,97.2,97.2,97.2
591,"PAN","Panama",83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,82.6,78.3,76,75.6,75.5,75.5,77.7,79.9,80.7,79.7,77.6,75.9,73.5,70.8,71.2,72.3,72.3,72.3
598,"PNG","Papua New Guinea",87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.2,87.1,85.4,85.6,84.1,84,82.8,83,80.3,77.2,74,72.6,70.2,70.3,71.9,74,73.3,73.3,73.3
600,"PRY","Paraguay",27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,27.6,24.7,26.4,27.7,26.4,23.5,23.7,23.7,24.6,28.3,30,31.3,34.4,33,29.9,30,33.9,33.9,33.9
604,"PER","Peru",83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,82.4,80.8,78.8,78.7,77.8,74.8,73.4,73,72.9,71.6,71.5,71.6,70.9,68.9,68.7,69.1,69.1,69.1
608,"PHL","Philippines",79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,76.9,76.2,76.3,75.2,76.2,77,74.7,72.9,73.9,70.7,68.3,68.9,70.2,69.8,72.1,67.4,67.4,67.4
616,"POL","Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,"PRT","Portugal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634,"QAT","Qatar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,"COG","Republic of Congo",90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.2,90.9,90.5,88.5,88.2,88.1,85.3,82.3,82.6,79.2,77.9,77.7,77.8,76.9,79.4,79.5,79.5,79.5
642,"ROU","Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
643,"RUS","Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,"RWA","Rwanda",92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92.3,92,92.2,91.7,91.1,93.3,93.5,94.4,92.8,93.9,92.7,92.2,90.5,91.9,85.5,84.5,84.4,84.4,84.4
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.4,84.5,82.5,81.7,80.9,83,82.3,85.2,87.1,88.8,89.1,90.2,92.4,93.4,91.5,91.2,92.7,92.7,92.7
662,"LCA","Saint Lucia",94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2,93.3,92.7,92.7,91.9,88,86.6,87,88,90,84.4,83,81.7,82,81.5,88.9,92.4,92.4,92.4
670,"VCT","Saint Vincent and the Grenadines",95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,94.8,94.4,93.9,93.4,91.3,90.2,90.3,91.1,92,90.3,89,89.1,89.9,89.9,91.4,81.9,81.9,81.9
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,"SAU","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,"SEN","Senegal",98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.9,98.6,97.6,97.5,97.5,96.5,96.4,97.4,97.2,96.2,98,98.1,98.3,97.2,97,96.8,97,97,97
688,"SRB","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,"SYC","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,"SLE","Sierra Leone",80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,78.3,76.1,71.3,70.5,71.6,70.8,61,58,49.3,43.8,37.3,35.9,33.3,33.6,33.2,34.5,34.5,34.5
702,"SGP","Singapore",95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,94.7,94.7,94.7,94.7,95.7,92,92,92,94.7,93.8,94.7,95.7,55.8,38,37.3,37.3,37.3,37.3
534,"SXM","Sint Maarten",84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,84.1,79.7,73.3,76,68.6,65.3,65.8,73,68.7,81.6,76.5,78.2,74.4,74.4,65.3,65.3,65.3,65.3
703,"SVK","Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,"SVN","Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"SLB","Solomon Islands",79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,78.8,75.1,74.2,74.8,74.2,72.2,71.5,66,62.2,57.6,53.5,50.4,49.7,49.3,50.4,52,52,52
706,"SOM","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,"ZAF","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,"KOR","South Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,"SSD","South Sudan",87,87,87,87,87,87,87,87,87,87,87,87,85.3,85.3,87.4,86.2,82.8,83.3,80.4,78.7,79,80.7,76.8,78.5,72.6,72.1,72.4,75.2,75.2,75.2
724,"ESP","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,"LKA","Sri Lanka",82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,82.4,81.7,83.9,83.7,84.6,84.2,80.3,81.4,82,82,82.3,86.8,85.7,85.5,85.9,86.6,88.7,88.7,88.7
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,"SUR","Suriname",96,96,96,96,96,96,96,96,96,96,96,96,96,95.2,94.7,93.8,93.1,89.8,89.2,87.8,87,85.5,85.5,83.6,82.7,82.1,82.1,82.5,82.5,82.5
752,"SWE","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
756,"CHE","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.3,90.2,78,76.9,77.2,77,77.3,90.8,94.3,95.3,95.9,96.4,96.7,96.5,96.8,97.3,97.3,97.3
762,"TJK","Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,"TZA","Tanzania",81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.5,80.4,79.8,78.7,78.5,77.2,73,67.6,66.7,64.1,62.7,63.3,64.6,61.4,61.9,62.6,62.6,62.6
764,"THA","Thailand",79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,76.7,75.5,73.9,73.4,73.7,74.7,76,79.1,83.1,84.9,87.1,88.1,89.3,88.6,89.6,89.9,89.9,89.9
626,"TLS","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768,"TGO","Togo",86,86,86,86,86,86,86,86,86,86,86,86,81.2,83.5,82.4,84.5,83.9,91.6,83.6,58.9,54.4,3.5,2.7,2.9,5.3,10.8,63.5,61,61,61
776,"TON","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"TTO","Trinidad and Tobago",87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,87.3,86.1,84.4,85.1,80.6,81.4,82.1,82.7,82.2,86.9,85.2,84.4,83.8,84.2,83.4,85.3,86.5,86.5,86.5
788,"TUN","Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
792,"TUR","Turkiye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,"TKM","Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,"UGA","Uganda",60,60,60,60,60,60,60,60,60,60,60,60,53.7,49.5,48.4,46,40.4,39.9,40.7,39.6,41.2,45.2,44.9,44.3,44.4,43.9,44.5,46.2,46.2,46.2
804,"UKR","Ukraine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
784,"ARE","United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
826,"GBR","United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
840,"USA","United States of America",92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.1,92,91.9,92.7,93,92.3,92.2,91,88,85.4,34.2,33.4,33.6,33.9,34.3,87.6,87.6,87.6
858,"URY","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
860,"UZB","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,"VUT","Vanuatu",93,93,93,93,93,93,93,93,93,93,93,93,92.9,96,88.7,88,85.5,85.2,83.8,89.7,84.9,86,85,84.9,85.5,78.7,80,81.2,81.2,81.2
862,"VEN","Venezuela",91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,90,90,89.4,88.5,88.4,88.7,89.1,89.3,90.3,84.6,83.1,82.1,79.7,77.5,81.2,82.8,82.8,82.8
704,"VNM","Viet Nam",66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,66.7,64.5,60.1,56.3,51.6,48.9,44.5,45.2,45.6,48.1,45.9,48.1,47.4,48.5,49.2,53.7,56.8,56.8,56.8
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
894,"ZMB","Zambia",86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,82.5,81.1,75.4,63.3,63.7,62.1,57.9,55.7,57.2,50.4,45.5,44,43.2,43.5,43.4,45.1,45.1,45.1
716,"ZWE","Zimbabwe",67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.2,67.3,67.6,72.6,78.3,67.4,54.1,52.1,46.6,42.9,30.8,34.4,33.7,35,35.5,51.6,51.6,51.6
