"code","iso","country","SDA.ind.1995","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020","SDA.ind.2021","SDA.ind.2022","SDA.ind.2023","SDA.ind.2024"
266,"GAB","Gabon",22.9,22.9,22.9,22.9,22.9,38.6,47.2,55.9,60.2,64.7,59.2,51.1,38.9,25,18.8,9.5,6.7,10.3,11,28.6,41.2,53.5,88.5,100,100,100,100,100,100,100
270,"GMB","Gambia",46.2,46.2,46.2,46.2,46.2,37.9,27.9,22.9,21.8,21.2,22,27.7,33.4,36,36.8,35.3,43.9,53.5,67,72.5,73,74,66.2,56.7,44.2,28.6,26.4,21.1,21.1,21.1
268,"GEO","Georgia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,59.6,19.9,39.3,61.6,75.8,87.2,84.1,95.5,79.2,67.6,53.6,58.9,69.1,88.5,88.5,88.5
276,"DEU","Germany",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
288,"GHA","Ghana",0.1,0.1,0.1,0.1,0.1,0,0,0,0,4.2,26.6,30.4,39.5,37.6,35.3,42.2,60.7,39.2,19.3,45,77.7,58.3,46.2,47.3,56.5,78.4,100,100,100,100
300,"GRC","Greece",64,64,64,64,64,63.6,64.3,65.7,67.4,68.2,69,74.4,78.4,87.6,100,100,100,100,100,92.2,80,75.3,82.6,89.5,100,100,100,100,100,100
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",8.7,8.7,8.7,8.7,8.7,17.4,29.2,84,100,100,100,100,100,100,100,83.1,59.2,73.4,82.8,100,100,100,100,100,85.7,68.9,73.4,72.6,72.6,72.6
320,"GTM","Guatemala",0,0,0,0,0,0,0,5,5.8,18.2,21.7,30.6,40.5,44.7,49.3,62.7,68.7,71.1,70.4,77.1,70,60.9,55.5,49.2,37.4,45.7,48.6,53.4,53.4,53.4
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",55.6,55.6,55.6,55.6,55.6,53.7,49.7,51.2,53.6,54.7,53.9,53.3,54,38.3,24.7,9.8,5.2,9,20.5,29.6,36.6,46.7,54.9,48.8,41.7,29.5,27.3,22,22,22
624,"GNB","Guinea-Bissau",74.4,74.4,74.4,74.4,74.4,78,80.2,81.7,78.3,74.7,70.9,55.8,41.3,40.2,35.3,41.5,51.8,66.5,79.7,87,79,73.8,62.9,54,43.8,34,31.6,26.1,26.1,26.1
328,"GUY","Guyana",61.7,61.7,61.7,61.7,61.7,67.1,74.4,83.7,94.5,97.5,100,100,100,95.1,87.3,69.8,63.8,52.3,40,27.9,29.3,40.3,41.2,41.2,47.2,48.8,57.1,62.4,62.4,62.4
332,"HTI","Haiti",59.7,59.7,59.7,59.7,59.7,43.4,24.2,3.5,6.9,57.5,73.5,100,81.4,71.5,68,60.2,31.5,0,0,0,0,0,0,0,26.5,53.5,59.8,64.8,64.8,64.8
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,25.4,34.7,45.6,55.2,57.8,60.1,51.6,60.5,71.1,74.1,93,98.7,100,100,100
344,"HKG","Hong Kong",100,100,100,100,100,100,100,100,99.1,83.3,65.7,61.3,60.9,52.2,40.1,53.7,59.6,65.5,61.3,60.9,65.9,70.4,72.7,77.2,81.4,100,100,100,100,100
348,"HUN","Hungary",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
352,"ISL","Iceland",100,100,100,100,100,100,100,100,100,100,97,93.7,69.4,48.8,29.8,21.5,14,8.9,10.1,22.7,36.2,62.5,77.4,84.8,93.4,100,100,100,100,100
356,"IND","India",37.7,37.7,37.7,37.7,37.7,40.1,41.7,42.6,43.3,43.2,41.3,36.1,30.6,26.7,22.8,21.8,23.9,26.5,30.6,33.1,36.2,37.5,36.7,37.7,41.7,49.6,54.3,57,57,57
360,"IDN","Indonesia",25.6,25.6,25.6,25.6,25.6,23.1,19.7,20,20.5,23,22.1,27.3,31.1,35.9,38.5,39,32.7,27.5,27,25.1,23.8,27.4,32.8,36.5,41.1,46.5,47.6,41,41,41
364,"IRN","Iran",36.2,36.2,36.2,36.2,36.2,40.5,41.6,46.2,52.9,53.8,53.5,52,50.5,51.8,53.9,57.4,56.7,64.9,78.3,93.5,100,100,100,100,100,100,99,88.1,88.1,88.1
368,"IRQ","Iraq",19.8,19.8,19.8,19.8,19.8,54.6,100,100,100,100,100,100,100,84.3,95.8,87.4,71.3,57.1,34.9,15.2,12.1,15.3,34.1,41.7,47.1,60.4,73.3,84.6,84.6,84.6
372,"IRL","Ireland",82.1,82.1,82.1,82.1,82.1,86.5,88.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,59.2,63.1,67.7,79.6,97.9,100,100,86.6,99.3,100,100,100,100,100,100,100,100,100,100,100
380,"ITA","Italy",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.2,81.8,88,100,100,100,100,100,100,100,100
388,"JAM","Jamaica",52.8,52.8,52.8,52.8,52.8,52.2,52.5,52.5,53.4,57.1,62.2,61.3,63.2,71.1,89.9,96.6,99.2,100,88.7,87,94.6,94.3,92.4,68.4,65.2,86.8,100,100,100,100
392,"JPN","Japan",100,100,100,100,100,100,100,100,100,100,100,91.8,91,95.5,100,85.7,72,63.5,59.3,59.5,64.7,70.3,80.4,98,100,100,100,100,100,100
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",37.9,37.9,37.9,37.9,37.9,35.7,38.7,37,41.9,56.1,66,82,100,100,100,100,100,75.9,52.1,30.6,23.1,48.5,70.6,100,100,100,100,100,100,100
398,"KAZ","Kazakhstan",79.9,79.9,79.9,79.9,79.9,88.1,83.2,77.7,71.3,60.4,56.7,52.9,59,69.1,98.5,100,100,100,100,100,100,100,100,100,100,98.6,83.3,73.4,73.4,73.4
404,"KEN","Kenya",59.4,59.4,59.4,59.4,59.4,48.2,43.6,43.6,50.7,54.8,56.4,48,48,43.8,36.8,23,13.7,23.6,40.9,52.5,85.7,100,100,100,100,100,100,100,100,100
296,"KIR","Kiribati",30.3,30.3,30.3,30.3,30.3,29.7,39.2,27.3,17.9,18,15.8,0,13.9,22,49.8,56.8,83.3,83.5,87.5,88.9,70.2,49.8,51.2,45.6,57.7,59.9,67.4,69.7,69.7,69.7
689,"XKX","Kosovo",73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,84.5,82.9,75,69.5,68.8,68.8,68.8
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,4.1,24.1,35.5,48.2,57.5,64.3,72.9,90.3,98.7,100,100,100,100,96.4,86.6,79.3,79.3,79.3
417,"KGZ","Kyrgyzstan",92.6,92.6,92.6,92.6,92.6,100,100,100,100,72.1,75.6,65.6,51.6,34.3,35.6,37.7,57.2,32.1,33.1,42.2,49.6,53.4,52.6,38.2,57.2,79.7,97.9,79.4,79.4,79.4
418,"LAO","Laos",3.4,3.4,3.4,3.4,3.4,19.5,44.7,57.5,63.2,70.5,75.9,75.5,65.2,56.5,38.8,33,37.2,36.3,15.4,0,0,0,0,0,0,0,0,0,0,0
428,"LVA","Latvia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.1,99.2,89.8,77.9,77.9,77.9
422,"LBN","Lebanon",3.1,3.1,3.1,3.1,3.1,15.1,16.8,38.6,57.6,68.5,80.9,100,100,100,86.2,79.9,67.5,62.8,59.3,48.4,39.7,39.7,38.7,36.9,33.9,48,72,72,72,72
426,"LSO","Lesotho",67.1,67.1,67.1,67.1,67.1,67.8,68,68.9,69.9,71.3,0,0,0,0,0,0,0,0,0,95.9,100,100,100,100,100,82.5,58.4,31.3,31.3,31.3
430,"LBR","Liberia",41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,42.7,43.9,51.4,61.7,64.3,56.4,46.8,37.4,35.8,39.8,30.4,28.2,22.7,22.7,22.7
434,"LBY","Libya",99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,93.2,85,96.9,91.7,82.7,81.6,76.5,76.3,80.9,88.6,98.5,100,99.8,100,100,100
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94.9,98,100,100,92.4,100,100,100,100,100,100,100,100
442,"LUX","Luxembourg",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
446,"MAC","Macao",26.8,26.8,26.8,26.8,26.8,29.6,29,32.4,31.2,32.1,40.1,54.4,75.2,100,100,100,100,100,100,100,100,100,77.8,58,42,53.1,64.6,72.2,72.2,72.2
450,"MDG","Madagascar",0,0,0,0,0,0.5,16,46.6,67.8,74.2,73,74.7,74.5,66.8,56.3,47.5,30.5,16.6,0,0,0,0,0,0,5.6,24.3,29.8,18.7,18.7,18.7
454,"MWI","Malawi",13.3,13.3,13.3,13.3,13.3,43.2,74.8,98.7,100,100,100,100,100,100,95,90.1,98.1,100,85.1,72.8,73.6,72.2,65.9,60.2,56.7,49.5,47.1,42.2,42.2,42.2
458,"MYS","Malaysia",60.1,60.1,60.1,60.1,60.1,66.9,72,66.2,72,74.5,71.7,64.5,48.8,37.6,34.3,24.6,20.1,7.7,12.3,18.8,24,33.1,34.1,37.4,46.3,43.9,46.2,48.6,48.6,48.6
462,"MDV","Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,20.1,39.6,56.7,60.3,68.5,64.4,67.8,62.2,61.9,53.9,49.9,56,66.9,73.8,73.8,73.8
466,"MLI","Mali",34.7,34.7,34.7,34.7,34.7,25.9,17.9,16.6,19.9,23.7,28.3,34.9,43.6,42,39.7,37.3,41.7,50.1,62.3,69.4,71.9,72.7,67.1,60.5,51.3,40.2,37.7,32.2,32.2,32.2
470,"MLT","Malta",40,40,40,40,40,50.2,61.7,75.6,71.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
584,"MHL","Marshall Islands",41.5,41.5,41.5,41.5,41.5,45.7,44.7,37.6,25,20.8,25.6,36.1,52.3,67.1,86.2,100,100,100,100,100,92.6,73.9,64.7,53.5,47.6,53.3,64.7,72.5,72.5,72.5
478,"MRT","Mauritania",100,100,100,100,100,100,100,100,100,100,99.5,71.9,30,24.9,25.3,29.1,34.8,44.5,58.9,69.7,73.4,76.7,65.8,58.8,47.5,36.9,32.4,22.7,22.7,22.7
480,"MUS","Mauritius",27,27,27,27,27,20,12.3,12.3,7,6.4,10.5,16.1,24.2,34.2,40.8,42.4,43.7,47.1,49.6,54.7,60.1,60.4,58.9,60,62.7,69.2,71.2,66,66,66
484,"MEX","Mexico",54.7,54.7,54.7,54.7,54.7,58,61.7,67.4,72.4,76.9,88.1,100,100,83.7,80.8,78.8,74.9,70.9,67.9,67.9,62.6,64.4,68.6,70.1,70,74.9,82.9,91.9,91.9,91.9
583,"FSM","Micronesia",38.2,38.2,38.2,38.2,38.2,22.7,2.7,0,0,0,25.5,68.7,88.5,100,99.2,100,100,100,100,100,89.4,80.8,75.6,70.4,56.8,59.9,67.4,69.7,69.7,69.7
498,"MDA","Moldova",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80.9,85,89.6,84.2,79.9,78.7,70.9,68.7,60,51.3,51.3,51.3
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",100,100,100,100,100,100,100,90.7,78.7,72.9,65.3,58.4,51.7,48.7,43.8,39.8,33.9,26.9,23.2,26.2,34.2,36.3,37.5,39,38.4,45.5,47.2,48.6,48.6,48.6
499,"MNE","Montenegro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4,96.7,100,100,100,100,100,100,100,100,100
504,"MAR","Morocco",61.1,61.1,61.1,61.1,61.1,64.6,66.3,63.8,63.5,55.4,50.1,50,49.1,46.1,55.6,63.2,66.1,67.7,77.2,83.1,87.1,92.5,89.4,78.6,80.1,76.4,64.2,89.8,89.8,89.8
508,"MOZ","Mozambique",78.2,78.2,78.2,78.2,78.2,60.9,28.6,0,0,0,0,0,0,0,2.2,42.2,57.1,76.5,85.3,75.9,71.7,59.9,46.2,46.6,50,54.4,56.9,61,61,61
104,"MMR","Myanmar",33.3,33.3,33.3,33.3,33.3,34.7,41.4,41.8,41.2,39.6,39.6,45.3,41.8,40.2,36.2,36,38.3,33.9,28.9,25.6,22.7,10.4,0,0,0,0,0,0,0,0
516,"NAM","Namibia",100,100,100,100,100,100,100,100,70.1,0,0,0,0,0,0,0,0,22,46.5,53.7,65.4,76.7,85.2,100,100,100,100,100,100,100
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",31,31,31,31,31,29.4,28.1,33.9,39.3,41.6,44.1,48.6,51.6,54.7,51.3,42.2,32.8,28.5,28.3,24.2,21.7,13.6,6.4,0,1.6,0,0,0,0,0
528,"NLD","Netherlands",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",76.6,76.6,76.6,76.6,76.6,73.8,69.4,64.5,52.6,46.8,38.7,37.4,42.3,46.6,62,78.3,95.5,100,100,100,85.2,77.3,73.4,64.6,63.1,67.2,68.8,71.2,71.2,71.2
558,"NIC","Nicaragua",17.3,17.3,17.3,17.3,17.3,14,15.4,12.2,14.9,18.6,27.7,33.4,44.9,53.2,63.8,71.3,75.8,83.5,93.4,93.3,89.5,80.2,80.9,85,86.7,100,100,100,100,100
562,"NER","Niger",48.5,48.5,48.5,48.5,48.5,53.1,58.7,67.7,67.2,66.9,69.6,68.2,65.7,55.7,41.9,29.9,21.7,16.3,10.5,19,32,46.5,60,79.1,100,95.3,83.8,70.4,70.4,70.4
566,"NGA","Nigeria",60.8,60.8,60.8,60.8,60.8,72.4,76.4,65,55.5,54,55.9,62.1,75,89.6,100,100,100,100,72.4,50.4,34.7,26.3,32.5,28.1,36.8,43.8,50.2,55.1,55.1,55.1
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",68,68,68,68,68,56.4,53.7,58.8,64.1,69.5,72.5,84.4,89,98.9,88.5,88.8,72,71.8,77.4,81.2,90.4,100,100,100,98.4,82.1,68.7,60.6,60.6,60.6
578,"NOR","Norway",100,100,100,100,100,100,100,100,100,100,100,99.4,91.2,84.3,90.7,87.5,92.1,100,100,100,100,100,100,100,100,100,100,100,100,100
512,"OMN","Oman",63.6,63.6,63.6,63.6,63.6,91.2,75.9,61.1,51,39.7,26.2,22,34.7,90.4,100,100,100,100,100,100,64.7,47.2,23.3,39.1,48.4,62.2,98.1,100,100,100
586,"PAK","Pakistan",24.8,24.8,24.8,24.8,24.8,31.6,42.5,52.3,65.2,70.1,69.8,62.7,51.6,48.7,40.9,36.9,36.9,39.6,51.6,57.5,64.3,61.3,54.1,59.9,47.5,34.7,25.1,23.1,23.1,23.1
585,"PLW","Palau",64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,87.7,90.6,86,77.8,74.4,71.3,64.4,64.1,59,56.1,59.7,67.4,67.4,67.4,67.4
591,"PAN","Panama",21.2,21.2,21.2,21.2,21.2,28.2,15.8,22,23,29.3,10.6,0,6.9,21.4,33,37.4,28.3,38.8,51.7,74.7,64.9,54.7,63.2,100,100,100,100,100,100,100
598,"PNG","Papua New Guinea",47.8,47.8,47.8,47.8,47.8,45,34.9,20.3,3.2,0,0,8.6,10.9,21.8,40,63.6,80,89.4,90.3,78.9,74,72.1,62.3,57.9,52.9,59.9,67.3,69.6,69.6,69.6
600,"PRY","Paraguay",4.7,4.7,4.7,4.7,4.7,19.2,38.5,50.9,64.3,68.6,72.2,76.1,99.4,100,100,100,100,100,91.4,98.6,100,98,100,100,100,100,100,86.3,86.3,86.3
604,"PER","Peru",42.3,42.3,42.3,42.3,42.3,59,58.1,60.1,62.9,61.1,61,62.8,80.8,92.3,100,100,100,92.9,77.9,67.9,59.4,51.7,61.1,61.4,66.3,69.2,69.5,73.7,73.7,73.7
608,"PHL","Philippines",22.7,22.7,22.7,22.7,22.7,33.4,50.3,72.2,100,100,100,100,100,100,100,100,100,94.6,73.2,59.1,47.1,38.8,25.8,22.1,21.8,22.1,28.4,35.7,35.7,35.7
616,"POL","Poland",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
620,"PRT","Portugal",74.9,74.9,74.9,74.9,74.9,76.2,81.8,75.4,96.1,100,100,100,100,100,100,100,100,100,100,100,91.3,86.6,94.7,100,97.9,99,100,100,100,100
634,"QAT","Qatar",6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,40.8,83,100,90.6,100,100,100,88.8,59.2,85.7,100,100,100,100,100
178,"COG","Republic of Congo",100,100,100,100,100,100,100,86.8,47.8,33,6.1,0,0,0,0,0,0,0,0,0,0,23.1,54.7,67.2,72.7,75.1,75.1,75.7,75.7,75.7
642,"ROU","Romania",100,100,100,100,100,100,100,100,91.4,81.9,73,56.3,52.4,57.5,71.9,95.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100
643,"RUS","Russia",76.6,76.6,76.6,76.6,76.6,91.6,100,100,100,100,100,100,100,99,90.7,81,70.8,64.1,63.1,64.6,67.5,73.8,87,82,80.2,77.7,72.7,69,69,69
646,"RWA","Rwanda",58.7,58.7,58.7,58.7,58.7,46.7,40.7,35,39.6,52.1,57.1,61.9,65.7,71.8,79.9,71.5,67.4,55.6,47.4,42,47.5,50.9,49.5,46.9,51.5,56.2,55.3,47.9,47.9,47.9
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",0,0,0,0,0,0,0,26,63.6,99,100,100,100,100,96,75.3,54.2,74.6,93.2,100,100,100,100,100,84.9,68.9,73.6,72.5,72.5,72.5
662,"LCA","Saint Lucia",0,0,0,0,0,14.3,32.5,90,100,100,100,100,100,100,100,88,64.8,81.2,95,100,100,100,100,98.8,82,68.6,71.9,72.1,72.1,72.1
670,"VCT","Saint Vincent and the Grenadines",0,0,0,0,0,4.1,18.4,81.5,100,100,100,100,100,100,100,84.8,63.6,75.9,84.7,88.8,97,100,99.4,92.1,82.2,69.1,74.1,73.3,73.3,73.3
882,"WSM","Samoa",59,59,59,59,59,60.2,57.8,50.7,39.7,37.7,37.9,42.2,53.1,60.6,64.6,69.7,71,67.7,64.4,59.2,54.7,50,53.1,51.9,52.3,59.9,67.5,69.7,69.7,69.7
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,37.8,52.6,68.3,73.7,71,63.8,51,44.3,35.2,24.4,22.4,17,17,17
682,"SAU","Saudi Arabia",37.2,37.2,37.2,37.2,37.2,39.4,45.8,50.3,52.9,53,54.1,49.6,50.8,46.4,39.2,29.3,27.3,28.6,31.1,34,35.7,36.4,44,55.5,66.4,73.3,80.4,79.9,79.9,79.9
