"code","iso","country","MPE.ind.1995","MPE.ind.1996","MPE.ind.1997","MPE.ind.1998","MPE.ind.1999","MPE.ind.2000","MPE.ind.2001","MPE.ind.2002","MPE.ind.2003","MPE.ind.2004","MPE.ind.2005","MPE.ind.2006","MPE.ind.2007","MPE.ind.2008","MPE.ind.2009","MPE.ind.2010","MPE.ind.2011","MPE.ind.2012","MPE.ind.2013","MPE.ind.2014","MPE.ind.2015","MPE.ind.2016","MPE.ind.2017","MPE.ind.2018","MPE.ind.2019","MPE.ind.2020","MPE.ind.2021","MPE.ind.2022","MPE.ind.2023","MPE.ind.2024"
508,"MOZ","Mozambique",50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,60.2,56,63,51.6,52.3,59.6,66.6,54.7,54.7,54.7,54.7,54.7
104,"MMR","Myanmar",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,93,50,50,65.4,72.5,98.1,98.1,98.1,98.1,98.1
516,"NAM","Namibia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.7,100,96,90.9,82.5,83.3,79.2,73.4,73.4,73.4,73.4,73.4
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,"NLD","Netherlands",20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,23.4,22.3,32.7,27.6,31.4,33,34.3,32.6,32.6,32.6,32.6,32.6
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,92.5,93.9,83.6,98.4,64.2,63,58.5,61.2,61.2,61.2,61.2,61.2
558,"NIC","Nicaragua",95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,50,50,50,56.1,100,100,100,100,100,100,100,100
562,"NER","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,"NGA","Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,"NOR","Norway",62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,62.4,61.7,58.7,62,57.8,58.6,62.3,61.7,62,62,62,62,62
512,"OMN","Oman",64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,92.6,100,97,87.6,100,100,100,100,100,100,100,100
586,"PAK","Pakistan",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,83.9,50,50,67.2,50,86.9,50,50,50,50,50
585,"PLW","Palau",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,32.8,56.9,39.8,37.6,39.3,54.2,47.2,47.2,47.2,47.2,47.2
591,"PAN","Panama",89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,96,100,52.4,61.1,58.3,88.6,100,88.1,88.1,88.1,88.1,88.1
598,"PNG","Papua New Guinea",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,100,100,100,100,100
600,"PRY","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
604,"PER","Peru",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,46.1,35,23.2,44.4,33.3,41.8,36.4,53.4,53.4,53.4,53.4,53.4
608,"PHL","Philippines",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,55.5,67,73.3,76.3,62,64.9,53.1,53.1,53.1,53.1,53.1
616,"POL","Poland",66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,74.2,69,69.9,66.3,68.6,73.5,68.7,58.5,58.5,58.5,58.5,58.5
620,"PRT","Portugal",29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,36.1,38.6,25,27,26.7,24.5,26.4,26.4,26.4,26.4,26.4,26.4
634,"QAT","Qatar",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,92.3,100,100,90.1,74.7,84.9,84.9,84.9,84.9,84.9
178,"COG","Republic of Congo",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,24.5,77.7,100,100,100,99.8,100,100,100,100,100,100
642,"ROU","Romania",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,28.6,36.8,31.2,26.6,32.3,43.6,44.1,53.7,53.7,53.7,53.7,53.7
643,"RUS","Russia",92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,77.9,99.1,90.6,87.1,96.6,87.3,87,85.6,85.6,85.6,85.6,85.6
646,"RWA","Rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,22.5,21.9,24.8,33.5,37.1,30.4,30.4,30.4,30.4,30.4
662,"LCA","Saint Lucia",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,59.8,50,50,100,90.3,56.5,70.2,70.2,70.2,70.2,70.2
670,"VCT","Saint Vincent and the Grenadines",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,65.9,100,32.8,100,100,100,100,100,100,100
882,"WSM","Samoa",75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,75.6,81.1,65.1,89.3,100,100,100,100,100,100,100,100,100
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,45.4,70.5,100,100,100,100,100,100
682,"SAU","Saudi Arabia",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,87.9,100,100,100,100,100,100,100,100,100
686,"SEN","Senegal",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,38.5,45.4,46.4,44.2,47.7,49.8,44.9,44.9,44.9,44.9,44.9
688,"SRB","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,"SYC","Seychelles",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.2,100,100,100,100,100,50.5,50.5,50.5,50.5,50.5
694,"SLE","Sierra Leone",26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,100,100,75,79.1,87.7,36.7,100,100,100,100,100,100
702,"SGP","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"SVK","Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,"SVN","Slovenia",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,90.1,100,100,93.9,68.7,75.4,100,100,100,100,100
90,"SLB","Solomon Islands",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.5,100,100,100,100,100,99.6,99.6,99.6,99.6,99.6
706,"SOM","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,"ZAF","South Africa",72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,63.7,71.1,76.8,82.2,81.4,84.5,69.3,70.3,70.3,70.3,70.3,70.3
410,"KOR","South Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,16.7,20.5,15,16.5,27.2,29.4,27,27,27,27,27
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,"ESP","Spain",44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,50.1,30.4,29,28.7,28,32.9,33.7,33.3,33.3,33.3,33.3,33.3
144,"LKA","Sri Lanka",57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,57.8,80.5,93.9,75.1,100,100,100,100,44.8,44.8,44.8,44.8,44.8
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,95.4,50,50,65.6,65.6,65.6,65.6,65.6
740,"SUR","Suriname",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.3,80.6,50,100,90.8,100,100,100,100,100,100,100
752,"SWE","Sweden",41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,40.3,42.4,42.8,47.8,46.8,46.7,49.3,48.9,48.9,48.9,48.9,48.9
756,"CHE","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,"SYR","Syria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
158,"TWN","Taiwan",79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,100,92.1,100,96,90.3,84.9,91.6,88.3,88.3,88.3,88.3,88.3
762,"TJK","Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,"TZA","Tanzania",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,67.8,100,100,100,100,100
764,"THA","Thailand",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,59.6,53.8,41.7,43,33.8,38.4,33,33,33,33,33
626,"TLS","Timor-Leste",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,50,100,100,100,100,100
768,"TGO","Togo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"TON","Tonga",94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,94.9,100,56.8,100,100,100,100,100,100,100,100,100,100
780,"TTO","Trinidad and Tobago",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,83.2,57.5,79.8,91,100,100,100,100,100,100,100,100
788,"TUN","Tunisia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
792,"TUR","Turkiye",57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.3,72.6,69.7,70.9,50.1,53.1,63.5,68.9,61.5,61.5,61.5,61.5,61.5
795,"TKM","Turkmenistan",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
800,"UGA","Uganda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,"UKR","Ukraine",55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,51.5,63.5,48.4,61.9,49.8,70.8,60.4,44.1,44.1,44.1,44.1,44.1
784,"ARE","United Arab Emirates",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
826,"GBR","United Kingdom",67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.5,67.8,66.5,66.2,69.6,63.5,63.3,65.8,70.4,70.4,70.4,70.4,70.4
840,"USA","United States of America",77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,76.4,72.5,69.6,72.2,74.3,75.6,74.8,76.9,76.9,76.9,76.9,76.9
858,"URY","Uruguay",72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,69.3,69.9,73.4,73.1,53.9,52.3,56.1,54.2,54.2,54.2,54.2,54.2
860,"UZB","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,"VUT","Vanuatu",91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,91.6,83.3,50,100,100,100,98.8,100,98.1,98.1,98.1,98.1,98.1
862,"VEN","Venezuela",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,79.9,98,58.1,68.1,75.1,71.8,87.8,76.4,76.4,76.4,76.4,76.4
704,"VNM","Viet Nam",61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,80.8,75.1,76.7,45,100,59.5,43.8,40,40,40,40,40
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,63.2,66.7,90.8,50,68.2,55.1,86.8,100,100,100,100,100
894,"ZMB","Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716,"ZWE","Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
