"code","iso","country","RMS.ind.1995","RMS.ind.1996","RMS.ind.1997","RMS.ind.1998","RMS.ind.1999","RMS.ind.2000","RMS.ind.2001","RMS.ind.2002","RMS.ind.2003","RMS.ind.2004","RMS.ind.2005","RMS.ind.2006","RMS.ind.2007","RMS.ind.2008","RMS.ind.2009","RMS.ind.2010","RMS.ind.2011","RMS.ind.2012","RMS.ind.2013","RMS.ind.2014","RMS.ind.2015","RMS.ind.2016","RMS.ind.2017","RMS.ind.2018","RMS.ind.2019","RMS.ind.2020","RMS.ind.2021","RMS.ind.2022","RMS.ind.2023","RMS.ind.2024"
440,"LTU","Lithuania",73.5,70.4,66.1,61,56.9,55,53.9,54.3,56.3,60.1,64.2,68,70.2,71.1,69,64.3,58.7,53.3,48,44.1,41.4,38.6,33.9,30.9,28.9,28.9,28.9,28.9,28.9,28.9
442,"LUX","Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",43.7,45.6,46,45.6,45.9,44.2,42.4,41.5,41.4,41.1,42.4,44.1,45.6,45.7,45.5,44.3,42,38.2,31,25.5,22.5,21.9,25.1,34.5,45,45,45,45,45,45
454,"MWI","Malawi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,"MYS","Malaysia",49.5,46.8,45.4,45.8,47.1,47.8,48.2,48.3,47.8,47.2,47.6,48.5,49.7,51.5,53.5,54.5,55,55,54.2,52.7,51.5,50,48.7,48.4,48.7,48.7,48.7,48.7,48.7,48.7
462,"MDV","Maldives",38.9,37.6,37.7,39.3,42.2,45.2,48.3,50.7,52.3,53.1,53.9,54.4,54.8,55,54.8,54.3,53.4,52.2,51.2,50.9,51.1,51.8,53,54.1,54.9,54.9,54.9,54.9,54.9,54.9
466,"MLI","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,"MLT","Malta",68.6,65.6,60.5,53.8,49.3,47.1,46.8,48.5,51.5,54.1,54.5,53.4,50.8,47.4,43,40.2,38.6,39.1,38.3,39.7,39.2,36.4,33,27.8,21.8,21.8,21.8,21.8,21.8,21.8
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",26.2,31.1,36.5,41,42.4,40.3,35.2,27.8,19.5,11,5.2,3.7,5.2,8.8,14,18,19.8,23.8,31.2,38.1,47,58.5,65.3,65.6,63.2,63.2,63.2,63.2,63.2,63.2
480,"MUS","Mauritius",41.5,39.6,37.4,36.2,36.3,35.3,36,36.6,36.7,35.7,35.7,34.3,33.5,33.3,33.5,34.7,37.7,42,48.5,56.2,65.5,73.5,80,83.1,83.7,83.7,83.7,83.7,83.7,83.7
484,"MEX","Mexico",53.9,52.8,52.1,52.2,53.1,53.8,54.5,55.2,55.5,55.3,55.3,55.1,54.6,53.9,52.7,51.2,49.2,46.9,44.6,42.6,40.5,38.6,37.1,36.1,35.6,35.6,35.6,35.6,35.6,35.6
583,"FSM","Micronesia",43.9,49,52.5,55.8,59.1,63.7,69.2,74.6,73.3,69.9,60.4,48,35.4,30,26.2,29.3,37.7,48.8,53.1,59.1,63.4,62.7,58.1,54.3,49.2,49.2,49.2,49.2,49.2,49.2
498,"MDA","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"MNE","Montenegro",38.6,35.2,32,30.4,30,32.3,35.6,40.6,44.2,47.4,48.7,48.5,46.7,45,42.8,41.2,41.4,42,43.8,45.7,47.4,47.7,48.1,47,44.6,44.6,44.6,44.6,44.6,44.6
504,"MAR","Morocco",60.2,59.9,59.4,58.7,57.8,55.2,52.7,50.3,48.9,47.7,47.3,47.4,47.3,46.6,46.1,45.4,44.3,43.2,40.6,36.9,33.5,29.8,27.4,27.2,28.7,28.7,28.7,28.7,28.7,28.7
508,"MOZ","Mozambique",51.8,52.2,52.2,52.4,52.7,52.7,52.7,53.5,55.3,57.7,60.7,64.3,67.2,69.1,69.7,68.3,65.2,60.6,55.2,48.5,41.4,34.6,28.1,22,17.1,17.1,17.1,17.1,17.1,17.1
104,"MMR","Myanmar",27.4,27.2,27.2,27.2,28,28.8,29.5,30.2,30.8,30.7,30.6,30.8,31.3,32.5,35.3,39.1,44,49.3,54.8,59.1,62.2,63.2,61.9,59.3,56.4,56.4,56.4,56.4,56.4,56.4
516,"NAM","Namibia",30.3,28.2,28.6,33.3,41.2,48.6,55.3,60.9,62.3,60.4,57.9,55.2,53.2,52.5,52.3,52.2,53.2,53.5,52.9,51.6,49.8,46.7,44.3,42.7,42.1,42.1,42.1,42.1,42.1,42.1
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,"NLD","Netherlands",67.7,69.2,69.7,69.5,68.1,67.4,66.2,65,63.7,62.4,61.2,61,61.6,63,64.8,66.3,66.2,64.3,60.5,55.5,51.5,47.9,46.1,46,47.9,47.9,47.9,47.9,47.9,47.9
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",32.2,41.8,49.7,55.1,58.5,59.2,58.1,56.5,55.7,56,57.5,60.1,63.6,67.5,70.8,72.4,72.6,72,69.8,65.8,61.2,57.4,53.9,53.1,54.7,54.7,54.7,54.7,54.7,54.7
558,"NIC","Nicaragua",40,40.2,39.9,36,31.7,29.2,27.5,28.5,32.6,39.3,45.7,53.2,58.7,61.9,61.7,60.5,58.1,56.6,55.7,54.9,53.9,53.2,51.2,49.1,47.6,47.6,47.6,47.6,47.6,47.6
562,"NER","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,"NGA","Nigeria",24.8,23.6,24.4,27.7,31.7,35.7,38.8,40.2,39.6,37.4,34.8,32.9,32.2,33.8,38.1,43.4,48.5,53.3,58,61.5,63.3,64,62.2,58,52.8,52.8,52.8,52.8,52.8,52.8
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",99.5,100,100,100,96.6,89.8,81.3,73.4,66.6,61.4,55.2,48.8,42.2,36.9,35.5,37.7,41.1,46,51.7,54.9,56.5,56.7,55.7,53.4,52.5,52.5,52.5,52.5,52.5,52.5
807,"MKD","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,"NOR","Norway",43.1,37.1,29.8,22.9,17.8,16.7,19.7,26.3,34,41.2,46.2,49.2,50.1,50.1,49.3,48.3,48.6,50.6,53.4,56.9,60.9,63.8,65.4,65.8,65.7,65.7,65.7,65.7,65.7,65.7
512,"OMN","Oman",42.9,46.2,49.4,51.2,53.1,54.6,54.8,52.9,50.9,46,39.4,32.5,26.9,23.4,23.4,26.5,32.2,38,42.8,45.2,45.1,42,38.9,36.4,35.3,35.3,35.3,35.3,35.3,35.3
586,"PAK","Pakistan",53.3,53.3,51.8,50.2,47.8,45.7,43.9,42.7,41.6,42,43.5,46.1,49.3,53.5,56.7,58.1,57.8,55.8,52.5,49.2,46.5,44.5,43.6,43.9,45.3,45.3,45.3,45.3,45.3,45.3
585,"PLW","Palau",48.3,46.8,45.8,45.2,45.4,45.8,46.3,47,48.1,48.6,48.8,49.2,49.8,50.5,51.7,51.6,49.4,46.4,44.4,41.9,39.2,38.6,40.3,42.9,47.2,47.2,47.2,47.2,47.2,47.2
591,"PAN","Panama",50.1,62.2,70.1,75.1,71.1,60,47.6,34.9,21.7,15.2,16.9,24.4,37.3,54.4,69,81.4,90.1,96.7,97.2,100,100,100,100,100,100,100,100,100,100,100
598,"PNG","Papua New Guinea",17.3,21.9,29.3,40.6,49.6,56.9,60.6,60.9,54.2,46.3,39,31.2,22.3,14.2,9.1,5.1,5.8,11.7,17.6,24.8,39.9,55,66.8,78.9,87.2,87.2,87.2,87.2,87.2,87.2
600,"PRY","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
604,"PER","Peru",68.2,68.8,66.8,62.3,55.6,50.7,46.4,45.3,47.2,52.8,59.5,67.4,73.4,78.2,80.2,81.1,79.3,77.8,76,74.3,73.4,73.4,72.2,71.1,69.5,69.5,69.5,69.5,69.5,69.5
608,"PHL","Philippines",41.1,39.8,39.8,40.4,41.7,42.5,44.2,45.6,47,48.5,50.6,52.2,54,55.6,56.5,56.2,54.4,51.3,47.4,43.4,39.9,38,37.7,39.1,41.8,41.8,41.8,41.8,41.8,41.8
616,"POL","Poland",67.7,60.8,53.1,46.2,41.7,40.6,42.1,46.1,51.6,57.6,62.9,66.5,67.6,67.7,66.7,64.4,61.9,59.1,55.6,51.6,47.5,43.3,38.9,35.9,34.8,34.8,34.8,34.8,34.8,34.8
620,"PRT","Portugal",62.4,64.7,65.1,64.5,63.9,63.7,63.7,64.4,64.9,65.7,65.1,63.2,60.7,58.3,55.9,54.8,55.2,56.2,57.6,58.7,58.7,57.2,55.3,52.4,49,49,49,49,49,49
634,"QAT","Qatar",0,0,13.9,32.2,50.7,63,64.6,59.4,46,29,11.4,0,0,0,0,0,0,12,27.3,41.1,52.5,60.1,62.8,61.6,57.4,57.4,57.4,57.4,57.4,57.4
178,"COG","Republic of Congo",70.8,69,66,60.4,54.9,50.8,47.7,46.2,48,51,53.7,56.8,59.4,58.7,56.3,54.2,51.7,49.3,47.5,46.4,44.7,44.4,45.3,47,49,49,49,49,49,49
642,"ROU","Romania",53.5,65.8,78.7,89.6,97.8,100,100,100,100,100,99.2,91.9,85,76.6,68.1,60.2,53.5,50,50,50,50,50,50,50,50,50,50,50,50,50
643,"RUS","Russia",39,43.3,46.5,48.8,50.4,52.8,56.8,62.8,68.9,76.4,82.6,86.7,85.7,81.9,74,64.6,55.1,48.5,43.2,40.6,39.7,41.1,41.7,43.1,43.7,43.7,43.7,43.7,43.7,43.7
646,"RWA","Rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",53,56.7,58.5,60.6,62.2,62.5,62.1,60.5,57.8,54.5,51.8,49.3,47.3,46.2,45.7,45,44.9,44.8,45.1,45.7,46.8,48,49.9,50.7,51,51,51,51,51,51
662,"LCA","Saint Lucia",46.8,37.8,32.9,29.1,25.7,24.7,24.7,25.1,27.1,31.8,37.4,43.3,49.3,54.4,56.1,56.1,54,49.2,44.4,43.5,44.7,49.4,59.1,69.3,76.4,76.4,76.4,76.4,76.4,76.4
670,"VCT","Saint Vincent and the Grenadines",36.8,31.4,33.3,36.6,41.2,43.2,44.2,42.5,39.3,34.1,31,30,31.5,34.8,40.6,45.3,49.3,54.3,60.2,67.3,75.7,84,89.2,91.6,90.2,90.2,90.2,90.2,90.2,90.2
882,"WSM","Samoa",81.7,75.9,62.7,44,24.8,9.8,0,0,0,4.3,15.6,30.3,42.2,49.4,53.1,54.4,53.3,52.2,52.7,54.5,57.1,59.3,60.9,61.4,60.1,60.1,60.1,60.1,60.1,60.1
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",35.4,41.1,48.4,55.6,63.1,67,67.3,61.3,54.3,45.2,36.2,30.2,31.4,35.2,42,50.8,59.8,64.4,65.8,61.6,51.3,40.4,32.3,26.4,26.9,26.9,26.9,26.9,26.9,26.9
682,"SAU","Saudi Arabia",47.9,48.1,47.8,47.4,46.9,47,47.4,48,48.6,49.1,49.1,49.4,49.4,49.4,49.3,49.7,50.1,50.9,51.5,51.9,51.9,51.8,51.4,50.9,50.4,50.4,50.4,50.4,50.4,50.4
686,"SEN","Senegal",36.9,37.5,38.2,38.7,38.9,40.3,43.7,49.1,56.4,64.9,72,76.6,79.2,78.7,75.2,71.1,67.8,65.3,65.4,68.5,70.8,71.8,71.8,69.9,66.2,66.2,66.2,66.2,66.2,66.2
688,"SRB","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,"SYC","Seychelles",47.2,44.7,44.6,47.2,50.5,53.5,55.3,55.6,54.2,51.8,49.3,47.7,47,47.4,48.1,47.9,47.8,47.6,47.2,47,47.9,48.9,49.9,50.7,51.5,51.5,51.5,51.5,51.5,51.5
694,"SLE","Sierra Leone",44.8,50.1,54.5,59.4,62.6,61.8,58.1,54.2,47.3,39.1,32.5,27.2,22.6,19.5,18.3,17.6,15.1,13.2,11.2,6.9,2.3,0,0,0,0,0,0,0,0,0
702,"SGP","Singapore",66.8,56.3,45.1,35.5,33.7,40.3,51.8,65.1,78.1,87.7,93.8,94.6,92.4,87.3,81,73.5,70.1,68.9,68.3,69.3,72.5,70.8,68.3,65.6,62.6,62.6,62.6,62.6,62.6,62.6
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"SVK","Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,"SVN","Slovenia",48.1,45.1,42.3,43.4,46.1,50.4,53.9,57.1,58.7,57.6,54.6,52.8,51.1,50.2,51.8,56.3,60.3,64.8,69.4,70,66.2,61.3,54.8,46.8,41.5,41.5,41.5,41.5,41.5,41.5
90,"SLB","Solomon Islands",53.1,53.6,53.9,54.1,53.9,52.5,51,49.6,48,47,47.6,48.5,50,52.1,54.1,55,55.3,54.5,52.7,50.6,49.1,47.9,47.5,47.4,47.5,47.5,47.5,47.5,47.5,47.5
706,"SOM","Somalia",30.8,33.9,35.7,35.9,35.4,33.8,31.7,29.8,28.4,27.2,27.5,28.3,30.5,33.6,37.7,41.8,46.3,50.2,52.9,54.6,55.6,55.2,54.2,53.1,51.8,51.8,51.8,51.8,51.8,51.8
710,"ZAF","South Africa",59.2,64.8,68.9,68.6,65.7,61.8,57.7,53.2,52.5,52.8,52.7,52.8,53,52.1,52.5,53,52.7,52.5,53.7,53.7,53.7,54,54.6,54.2,54.7,54.7,54.7,54.7,54.7,54.7
410,"KOR","South Korea",39.1,37.4,37.5,39.4,42.1,45.7,49.2,51.7,53.6,54.6,54,52.8,51.5,49.7,48.6,48.8,48.6,48,48.7,49.6,51.1,53.8,56.9,59,61.5,61.5,61.5,61.5,61.5,61.5
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,"ESP","Spain",47.4,47.3,47.6,48.2,49.2,50.9,52.6,54.5,56.3,57.7,58.3,58.9,58.6,57.2,55.4,53.3,50.3,47.4,45.1,43.4,42.6,43.3,44.9,47.2,49.7,49.7,49.7,49.7,49.7,49.7
144,"LKA","Sri Lanka",50,47.1,45.2,44.3,44.2,44.8,45.4,46.1,46.3,46.3,47.9,49.5,51,52.7,54.2,53.5,52.2,51.1,49.9,49.2,49.7,50,50.2,50.4,50.3,50.3,50.3,50.3,50.3,50.3
275,"PSE","State of Palestine",6.2,0,0,0,0,0,0,0.3,15.1,30.8,49.8,64.7,72.2,69.8,65.3,58,52.3,51.9,60.5,67.6,72.7,74.2,73.4,65.8,58.5,58.5,58.5,58.5,58.5,58.5
729,"SDN","Sudan",71.4,70.1,68,64.8,59.6,54.7,50.7,46.2,42.4,38.2,32.7,28.1,26.4,25.1,26.3,31.7,39.4,49.3,62.7,74.4,80.6,83.7,81.4,73.2,64,64,64,64,64,64
740,"SUR","Suriname",53.6,48.9,42.1,34.7,29.7,26.5,25.6,27.5,31.5,35.3,39.4,42.7,46,49.5,53.8,56.4,58,58.2,56.1,51.6,46.9,42.1,37.2,34.9,36.3,36.3,36.3,36.3,36.3,36.3
752,"SWE","Sweden",60.6,58,55.3,52.6,51.5,51.9,53.4,55.6,59.4,63.5,67.1,69.5,70.3,69.9,68.7,66.6,64.1,61.4,58.6,55.7,51.8,46.9,41.5,37.3,35,35,35,35,35,35
756,"CHE","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,"SYR","Syria",22.1,23,24.3,25.6,26.3,25.7,24.9,25.4,26.7,29.4,34.4,40,44.5,46.2,44.9,41.4,38.7,37.9,41.2,49.6,60,70.7,78.2,82.3,81.5,81.5,81.5,81.5,81.5,81.5
158,"TWN","Taiwan",54.9,55.8,57.1,58.1,58.3,59.5,61.6,62.5,62.5,61.2,57,51.2,46.1,41.8,39,41,45.8,41.1,33.1,20.3,4.8,0,0,0,0,0,0,0,0,0
762,"TJK","Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,"TZA","Tanzania",53.6,56.9,59.8,59.4,58,55.4,52.3,47.8,44.9,42.6,41.8,41.9,43.8,44.6,45.1,43.6,41.3,37.1,32.3,26.9,22.3,19.4,18.8,20.1,24.1,24.1,24.1,24.1,24.1,24.1
764,"THA","Thailand",42,40,38.7,38.7,39.9,41.3,43,44.4,45.3,45.7,46,46,47.1,47.8,48.4,49,50.4,51.2,52.6,54.5,56.9,58.5,60.4,61.1,60.9,60.9,60.9,60.9,60.9,60.9
626,"TLS","Timor-Leste",56.4,59.7,62.9,65.5,64.1,60.7,55.1,48.1,40.4,35.8,33.1,32.7,34.2,37.5,41.4,45.3,48.3,50.2,50.8,50.5,50,50,50,50,50,50,50,50,50,50
768,"TGO","Togo",55.2,54.4,52.1,48.5,42.9,36.3,30.2,25.9,23.3,22.5,23.1,27,32.2,37.5,41.4,45,45.5,46.1,48,51.8,55.6,60,64.1,66.5,67.4,67.4,67.4,67.4,67.4,67.4
776,"TON","Tonga",51,56.6,61.9,64.7,66.5,64.2,59.7,48.6,35.7,22.1,13.7,8.8,9.3,12.3,19.7,28.3,35.9,36.1,31.4,23.8,14.5,8.2,7.8,12.1,18.8,18.8,18.8,18.8,18.8,18.8
780,"TTO","Trinidad and Tobago",43,46.9,51.2,55.5,58.6,60.2,59.8,58.7,57,54.9,52.7,51,49.7,48.9,48.4,48.7,49.1,49.6,50.2,50.9,51.2,51.1,50.9,50.5,49.8,49.8,49.8,49.8,49.8,49.8
788,"TUN","Tunisia",50.5,53.5,55.2,54.2,53,51.4,49.3,47.2,46.2,44.9,44.2,44.5,46.3,48.7,52.2,54.9,56.6,57.3,57.2,55.2,52.6,50.2,48.8,49.1,51.6,51.6,51.6,51.6,51.6,51.6
792,"TUR","Turkiye",55.6,58.1,59.6,60.3,60.9,60.1,58.6,56.3,52.9,49.5,49.1,49.1,49,50,51.9,53.1,52.9,52.8,52.3,51.5,52.1,53.8,54.9,56.4,57.4,57.4,57.4,57.4,57.4,57.4
795,"TKM","Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",60,60.1,61.3,61.8,61.9,60.9,59.8,57,53.4,51,49.3,48.1,48,48.8,50,51.2,52.3,53.3,53.1,52.6,51.9,51.1,50.1,49.9,49.8,49.8,49.8,49.8,49.8,49.8
800,"UGA","Uganda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,"UKR","Ukraine",68.1,59.4,51.8,46.1,41.5,44,49.7,54.8,58.5,61.1,62,61.8,61.3,61.2,60.9,60.7,60.4,59.7,58.5,57.9,57.2,56.9,56.9,57.4,57.6,57.6,57.6,57.6,57.6,57.6
784,"ARE","United Arab Emirates",57.1,56.9,55.7,53.5,51.5,49.6,47.2,44.6,41.8,38.8,35.7,33.7,34.1,36.5,39.9,44.7,49.7,53.6,55.9,57.1,56.6,54.8,53,51.8,50.6,50.6,50.6,50.6,50.6,50.6
826,"GBR","United Kingdom",55.9,56,55.7,54.9,53.8,53.5,53.4,53.7,54.3,55.2,55.4,55.4,55.5,55.5,56.2,57.5,59.1,60.6,61.6,60.3,57.7,55,51.3,46.5,44.1,44.1,44.1,44.1,44.1,44.1
840,"USA","United States of America",54.1,54,53.8,53.4,53.1,52.6,52.3,52.2,52.3,52,52,51.5,51.1,50.9,51.2,51.5,51.8,52,52.3,51.9,51.7,51.2,50.7,49.6,49.1,49.1,49.1,49.1,49.1,49.1
858,"URY","Uruguay",49,48.6,47.8,47,45.7,44.4,43.5,43.3,43.1,44,45.2,46.1,46,46.7,47.1,47.5,48.9,51,51.6,51.2,49.4,46.6,42.8,40.7,40.1,40.1,40.1,40.1,40.1,40.1
860,"UZB","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,"VUT","Vanuatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
862,"VEN","Venezuela",33.1,31.1,29,27.5,27.5,30.8,35.5,41.2,47.4,51.1,52.7,54.8,57.8,61.7,68.9,79.3,89.2,96.2,100,100,94.3,82.4,67.6,52,39.3,39.3,39.3,39.3,39.3,39.3
704,"VNM","Viet Nam",26,23.6,20.5,17.9,15.2,13.2,12.5,13.2,14.3,16.9,20.3,23.9,27.6,31.9,34.3,35.3,35.6,35.5,33.2,32.3,31.7,30.8,29.6,29.9,29,29,29,29,29,29
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",74.2,75.7,74.2,70.3,63.8,57.5,51.5,46.9,44.1,44.2,46.1,49.5,53.6,57.5,60.2,61.2,60.1,57.1,52.8,47.6,42.3,38,35.2,34,34.7,34.7,34.7,34.7,34.7,34.7
894,"ZMB","Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716,"ZWE","Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
