"code","iso","country","FSS.ind.1995","FSS.ind.1996","FSS.ind.1997","FSS.ind.1998","FSS.ind.1999","FSS.ind.2000","FSS.ind.2001","FSS.ind.2002","FSS.ind.2003","FSS.ind.2004","FSS.ind.2005","FSS.ind.2006","FSS.ind.2007","FSS.ind.2008","FSS.ind.2009","FSS.ind.2010","FSS.ind.2011","FSS.ind.2012","FSS.ind.2013","FSS.ind.2014","FSS.ind.2015","FSS.ind.2016","FSS.ind.2017","FSS.ind.2018","FSS.ind.2019","FSS.ind.2020","FSS.ind.2021","FSS.ind.2022","FSS.ind.2023","FSS.ind.2024"
458,"MYS","Malaysia",67.6,67.6,68,68.6,64.9,63.3,61,61.4,62.3,61.4,62.8,59.8,59,55.4,53.4,51.3,51.5,50.6,49.9,49.3,50.7,52.4,52.8,51.6,51.5,51.5,51.5,51.5,51.5,51.5
462,"MDV","Maldives",98.2,98.2,96.5,96.5,94.9,94.9,90.9,89.7,90.9,94.9,100,98.2,100,100,83,75.7,69.6,72.7,73.2,62.6,55,47.6,45,45.4,52.2,52.2,52.2,52.2,52.2,52.2
466,"MLI","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,"MLT","Malta",0,0,0,0,0,0,0,0,1.1,5.9,2,5.5,2.1,5.6,6.7,11.2,15.3,18.4,18.9,26.9,26.3,27.6,37,39.3,33.6,33.6,33.6,33.6,33.6,33.6
584,"MHL","Marshall Islands",60.5,53,69.6,73.6,100,96.5,84.7,100,53.2,41.3,45.4,50.2,45.5,40.8,44.5,51.6,53.4,55.4,65.3,67.3,69.6,65,63.2,59.7,56.2,56.2,56.2,56.2,56.2,56.2
478,"MRT","Mauritania",47.1,47.6,49.2,52,57,59.5,60.5,58.3,59.5,62.9,63.5,63.8,62,62.9,66.3,66.3,62.3,57.2,53.2,53,55.6,56.8,57.7,57.9,60.5,60.5,60.5,60.5,60.5,60.5
480,"MUS","Mauritius",43.3,44.6,80.8,69.2,62.6,58.6,61.2,51.7,45.1,41.2,45.7,52.5,59,59.5,52.5,46.4,37.9,33.4,31,36.2,37.4,28,20.4,15.4,16.1,16.1,16.1,16.1,16.1,16.1
484,"MEX","Mexico",58.2,56.1,63.1,60.9,56.7,55.3,57.8,62.2,63.2,56.5,58.2,57.9,60.8,56.2,55.9,58,63,58.4,53.7,32.2,27.7,26.3,36.4,44.2,52.8,52.8,52.8,52.8,52.8,52.8
583,"FSM","Micronesia",100,72.7,49.7,42,100,41.6,40.7,49.5,50.5,52,48.9,49.5,46,51.2,57.5,65.3,61.2,63.2,65,61.5,58.1,63.5,69.6,73.6,66,66,66,66,66,66
498,"MDA","Moldova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,"MNE","Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,"MAR","Morocco",60,51.1,48.7,52.7,52.4,53.1,50.6,49.6,48.1,49.7,54.4,51.7,51,50.2,52,51.6,54,56.7,56.6,55.3,51.1,52.5,54.6,56.7,51,51,51,51,51,51
508,"MOZ","Mozambique",85.6,83,87.6,86.6,87.6,82.3,72.7,67.7,63.8,66.3,64.7,62.6,61.2,58.8,59.5,59.3,60.7,57.9,61.5,69.2,84.7,92.1,92.1,92.1,96.5,96.5,96.5,96.5,96.5,96.5
104,"MMR","Myanmar",98.2,98.2,98.2,98.2,98.2,98.2,92.1,87.6,84.7,82.3,81.5,82.3,83,83.9,78.1,72.7,60,55.2,48.9,49.7,48.8,52,54.5,54.5,50.5,50.5,50.5,50.5,50.5,50.5
516,"NAM","Namibia",2.7,7.9,7.8,7.4,7.9,9.9,11.8,13,11.9,8.8,10.6,11.4,10.9,9.7,11.4,11.1,10.7,9.6,10.1,10.6,13.2,17.4,19.6,19.3,18,18,18,18,18,18
520,"NRU","Nauru",58.3,65,76.3,79.4,100,81.5,82.3,100,82.3,100,83.9,85.6,85.6,81.5,80.1,85.6,78.1,83.9,84.7,88.6,88.6,100,83.9,100,80.1,80.1,80.1,80.1,80.1,80.1
524,"NPL","Nepal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,"NLD","Netherlands",39.4,21.5,12.7,9.5,11.1,9.1,6.2,3.3,7,11,9.4,2,0,1,6.8,8.3,9.4,8.9,17.1,12.5,7.3,1.7,6.2,3.8,0,0,0,0,0,0
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",62.8,69.8,70.9,69.8,69.9,60.8,55.4,56.6,63.7,73.3,72.1,67.6,63.6,60.7,62.4,54.6,49.5,45.9,44.7,49.4,52.3,53.3,43.1,38.6,34.4,34.4,34.4,34.4,34.4,34.4
558,"NIC","Nicaragua",82.9,60.4,61.5,64.8,73.5,71.6,71.2,100,77.4,73.9,59.6,57.2,45.7,40.5,48.9,73.4,72.4,87.9,88.1,90.4,100,71.4,73.5,72.4,67,67,67,67,67,67
562,"NER","Niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,"NGA","Nigeria",63.8,64.1,63.8,84.7,73.6,73.6,71.3,79.4,80.1,83,84.7,80.1,82.3,81.5,85.6,83.9,71.8,54.3,46.9,43.1,43.8,45.3,46.8,48.2,47.6,47.6,47.6,47.6,47.6,47.6
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",18.5,6,6.8,7.2,11.1,11.3,23.2,30.6,42.3,43.4,44.1,45,45.1,28.4,18.5,11.6,12.2,14.9,20.9,28.1,25,18.9,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.3
807,"MKD","North Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,"NOR","Norway",31.5,38.6,44,45.8,44.3,45.1,56.8,58,59.5,55.7,49.5,49,46.5,39.1,33.5,31.6,35.5,28.3,25.2,15.8,19.3,18.4,27.6,30.8,40.2,40.2,40.2,40.2,40.2,40.2
512,"OMN","Oman",94.9,100,92.1,93.5,96.5,98.2,98.2,98.2,98.2,98.2,100,92.1,86.6,86.6,92.1,100,100,98.2,98.2,100,100,98.2,100,82.3,68.8,68.8,68.8,68.8,68.8,68.8
586,"PAK","Pakistan",90.9,87.6,84.7,83.9,77.5,74.1,71.3,70.4,67.3,69.2,70.9,72.7,71.3,70,65.6,62,60.2,63.2,64.1,63.8,61,57.9,56.2,58.8,67,67,67,67,67,67
585,"PLW","Palau",49.2,48.5,39.5,16.2,10,12.9,12.4,31.2,29.8,30.7,10.7,9.1,17.5,15.8,9.4,0,0,11.4,5.6,9.9,0,0,8.4,22.4,10.8,10.8,10.8,10.8,10.8,10.8
591,"PAN","Panama",58.8,65,79.4,77.5,79.4,70.5,71.3,68.8,78.7,77.5,72.2,65.6,54.8,54.3,20.1,15.9,9.5,30.9,33.4,30.8,22.8,19.9,15.9,36.2,57,57,57,57,57,57
598,"PNG","Papua New Guinea",68.8,69.6,69.6,72.7,77.5,73.2,61,64.4,67.7,76.3,72.2,72.7,74.7,78.7,86.6,84.7,80.8,74.1,78.7,68.8,66,67.3,76.9,77.5,66.6,66.6,66.6,66.6,66.6,66.6
600,"PRY","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
604,"PER","Peru",90.9,92.1,22.1,17.8,17.7,40.9,47.7,53.4,60,62,63.5,65.3,68.1,76.3,62.6,52.4,50.2,58.3,72.2,49.3,37.1,31.7,41.6,54.3,80.8,80.8,80.8,80.8,80.8,80.8
608,"PHL","Philippines",83,74.1,68.5,61,57.5,60,66,80.1,75.2,75.2,70.5,76.3,76.3,83,83.9,86.6,90.9,90.9,75.2,68.8,65,67.3,68.5,70.9,72.7,72.7,72.7,72.7,72.7,72.7
616,"POL","Poland",94.9,96.5,100,100,98.2,98.2,98.2,96.5,93.5,87.6,85.6,85.6,88.6,84.7,88.6,85.6,86.6,85.6,86.6,87.6,75.2,67.7,57.9,54.3,50.2,50.2,50.2,50.2,50.2,50.2
620,"PRT","Portugal",47.3,50.8,46.9,39.3,31.2,23.7,23.9,27.2,30.3,32.6,37.2,34.9,29.6,23.2,23.3,24.3,23.2,19.8,15.2,14.3,5.5,5.8,5.3,8.4,5.5,5.5,5.5,5.5,5.5,5.5
634,"QAT","Qatar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,"COG","Republic of Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
642,"ROU","Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
643,"RUS","Russia",60.8,52.8,55.4,44,45.8,48.7,55,46.9,50,45,46.8,43.6,46.4,38.7,34.3,31.5,38,39.2,40,42.8,43.2,41.2,40.6,46.7,51.3,51.3,51.3,51.3,51.3,51.3
646,"RWA","Rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662,"LCA","Saint Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670,"VCT","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,"WSM","Samoa",60.5,53.9,53.4,61.2,70.9,53.2,100,41.3,32.4,30.7,32.7,35.2,35.5,34.6,33.6,33.3,33.3,32.4,30.7,28.7,28.6,29.8,30.1,29.5,29.2,29.2,29.2,29.2,29.2,29.2
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",14.2,9.7,7.9,15.4,19.6,21.4,28.7,33.1,44.4,30.9,25,17.7,17.1,18.8,21.6,15.9,10.7,8.4,20,31.8,32.7,30,14,9.4,0,0,0,0,0,0
682,"SAU","Saudi Arabia",59.3,73.3,72.5,63.5,62.7,66.6,66,65.9,63.7,60.4,62,61.3,61.2,59.3,58.4,56.4,54.7,54.6,55.1,54.9,54.8,54.2,54.3,54.1,54.6,54.6,54.6,54.6,54.6,54.6
686,"SEN","Senegal",41.8,42,37.4,34.8,30.5,29.8,27.1,23.4,21.2,21.3,23.8,24.7,18.9,18.9,19.1,25.2,22.6,19.6,17,17.2,18.6,17.7,15.8,13.1,11.3,11.3,11.3,11.3,11.3,11.3
688,"SRB","Serbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,"SYC","Seychelles",3.7,0,5.4,7.5,15.5,5.8,4.6,2.6,0.9,0.9,1.4,3,6.9,8.5,10.1,10.8,14.1,17.2,20.8,16,12,5.8,4.3,6.3,16.1,16.1,16.1,16.1,16.1,16.1
694,"SLE","Sierra Leone",52.7,49.3,50.9,46.7,48.2,47.7,52.4,59.7,66,70,69.2,67.7,65.3,64.1,64.1,64.1,63.8,64.7,68.5,72.7,75.7,74.1,75.2,76.3,79.4,79.4,79.4,79.4,79.4,79.4
702,"SGP","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"SVK","Slovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,"SVN","Slovenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"SLB","Solomon Islands",100,100,100,100,100,47.4,51.1,77.5,76.9,77.5,80.8,83.9,85.6,84.7,83,83,78.1,76.3,73.6,79.4,84.7,89.7,87.6,87.6,84.7,84.7,84.7,84.7,84.7,84.7
706,"SOM","Somalia",66,66.3,75.7,87.6,85.6,86.6,84.7,83,82.3,84.7,87.6,88.6,88.6,88.6,85.6,84.7,85.6,85.6,81.5,78.7,80.8,70,62.6,56.2,55.8,55.8,55.8,55.8,55.8,55.8
710,"ZAF","South Africa",0,0,0,0,0,4.5,17.2,49.4,51.7,80.3,48.3,16.1,6.1,0.7,1.9,0,1,0,0,0,0.6,2.8,6.4,12.5,22.9,22.9,22.9,22.9,22.9,22.9
410,"KOR","South Korea",43.6,37.1,32.3,34.2,37.7,41,39.8,40.4,40.1,40.6,41.9,43.6,44.9,44.8,44.6,45,44.9,43.5,42.3,40,38.4,35.5,34.6,33.1,31.2,31.2,31.2,31.2,31.2,31.2
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,"ESP","Spain",44.5,39.5,36.6,33.4,34.1,35.1,30.7,28,21.5,23.2,24.2,27.4,26.5,25.4,22.8,22.5,23.2,21.9,18.5,17.1,22,21.9,20,18.7,21.9,21.9,21.9,21.9,21.9,21.9
144,"LKA","Sri Lanka",96.5,85.6,85.6,78.7,79.4,78.7,82.3,87.6,88.6,71.8,61,56,62,65.6,62.9,66,69.2,76.3,72.7,71.8,69.6,68.8,69.2,69.6,68.1,68.1,68.1,68.1,68.1,68.1
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",100,100,52,52.4,57.2,62.9,68.1,76.9,65,100,100,100,100,100,100,53.9,46.4,54.8,68.1,83,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9
740,"SUR","Suriname",60.5,92.1,93.5,100,100,90.9,90.9,93.5,94.9,89.7,87.6,85.6,59,35.3,34.3,38.6,58.3,58.8,38.5,35.1,33.1,42.9,42.4,33,19.5,19.5,19.5,19.5,19.5,19.5
752,"SWE","Sweden",96.5,98.2,98.2,100,100,100,100,100,90.9,83,78.1,78.7,80.8,82.3,82.3,82.3,82.3,83,84.7,85.6,83.9,42.1,29.6,23.5,26.6,26.6,26.6,26.6,26.6,26.6
756,"CHE","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",47.6,49.9,47.4,40.2,33.1,22.4,18.4,18.4,24.3,28.4,30.4,29.1,23.3,20.2,18.7,22,33.9,40.9,46.9,44.4,42.2,43.1,43.4,44.6,41.3,41.3,41.3,41.3,41.3,41.3
762,"TJK","Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
834,"TZA","Tanzania",88.6,87.6,87.6,88.6,87.6,89.7,80.1,76.9,75.7,79.4,85.6,86.6,88.6,87.6,87.6,88.6,90.9,89.7,88.6,87.6,86.6,85.6,82.3,78.7,75.2,75.2,75.2,75.2,75.2,75.2
764,"THA","Thailand",54.5,50.2,53.8,57.5,63.3,70.9,74.9,70.8,71.6,70.4,73.6,64.3,57.3,55.9,59.2,58.9,54.8,54,53,53.2,48.5,46.4,48.2,44.7,38.8,38.8,38.8,38.8,38.8,38.8
626,"TLS","Timor-Leste",100,100,100,100,77.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,74.1,100,83.9,100,100,100,100,100,100
768,"TGO","Togo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"TON","Tonga",74.7,69.6,65.6,63.8,62.6,68.1,70.5,80.8,82.3,94.9,94.9,94.9,94.9,94.9,94.9,94.9,96.5,96.5,96.5,96.5,96.5,80.8,70.9,73.2,98.2,98.2,98.2,98.2,98.2,98.2
780,"TTO","Trinidad and Tobago",56.6,57,50.2,48.4,44.1,50.2,51.4,49.9,46.4,43.2,44.8,43.7,43.6,41.9,39.7,40.9,43.1,47.6,48.6,45.8,42.6,39.7,39.9,40.7,42,42,42,42,42,42
788,"TUN","Tunisia",44,46.9,47.2,46.3,44.5,41.7,41.8,40.8,41.1,40.4,39,39.7,41,44.8,41.9,42.5,43.2,46.1,41.6,43.5,46.6,51.9,46.3,44.1,45.5,45.5,45.5,45.5,45.5,45.5
792,"TUR","Turkiye",47.3,39.7,32.2,29.7,36.7,37.4,39.1,34.7,37.7,38.1,40.5,45.2,46.9,47.7,49.1,48.6,51.3,51.6,32.6,26.9,18.6,26.1,19.2,24.9,24.4,24.4,24.4,24.4,24.4,24.4
795,"TKM","Turkmenistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",54.3,42,70.5,63.5,100,100,100,100,55.6,44.7,49.5,56,63.2,70.5,75.2,78.1,75.2,74.1,78.7,83,92.1,94.9,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5
800,"UGA","Uganda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,"UKR","Ukraine",31.5,27.6,18.1,19.7,24.2,38.5,93.5,90.9,88.6,33.2,18.4,17.1,27.4,75.7,77.5,79.4,80.1,81.5,44.7,27.8,14.2,13.4,15.1,16.7,18.8,18.8,18.8,18.8,18.8,18.8
784,"ARE","United Arab Emirates",100,100,100,100,100,100,88.6,88.6,88.6,89.7,89.7,51.7,39.2,32.3,36.9,45,37.1,33.4,30.1,32.4,33.8,34.3,37,37,37.1,37.1,37.1,37.1,37.1,37.1
826,"GBR","United Kingdom",51.9,52.1,52.3,53,46.4,42.4,45.9,36.7,30.7,30.1,28,25.3,24.3,24.9,21.1,20.9,19,23.2,23.6,26.4,21.9,22.7,21.5,22.2,14.9,14.9,14.9,14.9,14.9,14.9
840,"USA","United States of America",43.6,40.2,36.9,35.3,34.2,34.6,34.4,37.7,40,40.8,40.3,38.9,37.9,36.2,35.5,38.4,42.5,48,47.2,44.2,43.7,38.1,33.7,31.6,38,38,38,38,38,38
858,"URY","Uruguay",84.7,80.8,78.7,74.2,78.1,70.5,67,59.7,61.2,65,72.7,78.7,77.5,78.1,65.3,61.2,60.2,66.6,75.2,72.2,67.7,53.9,49.3,49.3,51.6,51.6,51.6,51.6,51.6,51.6
860,"UZB","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548,"VUT","Vanuatu",100,57.7,55.6,55.2,52.4,100,100,100,100,58.6,58.6,100,65.3,71.8,74.1,73.2,72.7,75.2,72.2,72.2,73.2,82.3,80.8,100,85.6,85.6,85.6,85.6,85.6,85.6
862,"VEN","Venezuela",93.5,90.9,86.6,83.9,79.4,79.4,78.1,81.5,83,79.4,63.2,46.2,38.8,40.1,39.2,36.8,26.2,25.9,24.2,28.4,27.4,28.6,27.6,27.6,27.8,27.8,27.8,27.8,27.8,27.8
704,"VNM","Viet Nam",96.5,98.2,93.5,93.5,94.9,98.2,96.5,92.1,89.7,90.9,92.1,94.9,94.9,100,100,100,100,100,100,100,100,100,100,100,98.2,98.2,98.2,98.2,98.2,98.2
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",38.6,100,100,100,100,68.4,100,100,80,100,62.5,55.1,53.5,55.6,61.6,59.9,62.3,63.3,63,62.7,62.5,60.3,58,55.8,55.6,55.6,55.6,55.6,55.6,55.6
894,"ZMB","Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716,"ZWE","Zimbabwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
