"code","iso","country","SPI.ind.1995","SPI.ind.1996","SPI.ind.1997","SPI.ind.1998","SPI.ind.1999","SPI.ind.2000","SPI.ind.2001","SPI.ind.2002","SPI.ind.2003","SPI.ind.2004","SPI.ind.2005","SPI.ind.2006","SPI.ind.2007","SPI.ind.2008","SPI.ind.2009","SPI.ind.2010","SPI.ind.2011","SPI.ind.2012","SPI.ind.2013","SPI.ind.2014","SPI.ind.2015","SPI.ind.2016","SPI.ind.2017","SPI.ind.2018","SPI.ind.2019","SPI.ind.2020","SPI.ind.2021","SPI.ind.2022","SPI.ind.2023","SPI.ind.2024"
132,"CPV","Cabo Verde",0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,3.5
116,"KHM","Cambodia",58,58.3,58.3,58.3,58.3,58.3,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,85,90.8,91,91.1,91.1,91.1,91.1,91.1,91.1
120,"CMR","Cameroon",3.4,4.5,4.5,4.5,4.5,9.4,11,11,11,12.2,16.9,16.9,23.8,25,26.5,27.1,27.1,28.1,28.1,29.4,30,30,30,31,31,31,31,31,31,31
124,"CAN","Canada",37.6,39.5,40.4,41.6,42.8,43.8,46.5,47.1,50,50.9,52.4,53.5,54.7,57.4,58.5,58.9,60.7,63.5,64.7,65,66.8,67.4,67.9,70.6,75.2,78.2,81,82.1,82.1,82.1
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",53.5,53.5,53.5,55.1,55.1,55.1,55.1,55.1,55.1,55.1,56.8,56.9,56.9,56.9,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.4,76.7
148,"TCD","Chad",49.3,49.3,49.3,49.3,49.3,49.3,51.7,51.7,51.7,55.6,63,66.6,66.6,68.5,68.5,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8
152,"CHL","Chile",27.1,28.2,28.2,28.3,28.3,28.4,28.4,28.4,28.4,28.4,29.2,29.2,29.2,29.3,29.4,29.9,29.9,29.9,30.1,30.2,30.4,30.4,30.4,32.7,33.4,33.5,33.5,33.6,33.6,33.6
156,"CHN","China",1.4,1.5,1.5,1.5,1.7,1.7,1.7,2,2,2.1,2.1,2.1,2.1,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3.1
170,"COL","Colombia",28.3,28.3,28.3,29.1,29.2,29.3,29.3,29.9,29.9,29.9,31.7,33.1,34.8,36.2,37.8,38.7,39.5,39.6,40.5,41.3,45.1,46.3,48.2,50.7,53.5,53.6,54.1,54.1,54.1,54.1
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,1.1,1.1,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",38.2,39.7,39.8,40,40.1,44.2,44.3,44.4,57.3,57.3,57.3,57.8,57.8,57.8,57.8,58.6,58.6,58.6,58.6,58.6,58.6,58.6,58.6,58.6,58.8,58.8,58.8,58.8,58.8,58.8
384,"CIV","Cote d'Ivoire",46,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,48.1,84.4
191,"HRV","Croatia",1.5,1.5,1.5,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,2.1,2.1,2.1,3.3,3.6,29.4,81.3,81.3,81.3,81.3,81.3,82.8,82.9,84.6,84.6,84.6,84.6
192,"CUB","Cuba",0,0,0,0,0,0,9.4,10.6,10.6,10.6,10.6,10.6,10.6,17.8,17.8,34.5,34.5,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,2.1,2.7,2.7,2.7,2.7,2.7,2.8,23.5,49.4,54.2,54.3,54.3,56,56,56,56,56,69.3
203,"CZE","Czech Republic",37.8,38,38.1,38.3,38.4,38.4,38.5,38.6,38.6,57,62.4,62.7,62.8,79.3,80.1,80.3,81.9,94.2,94.4,94.6,94.9,95.3,96,96.6,96.8,96.8,96.8,96.8,96.8,96.8
180,"COD","Dem. Rep. Congo",33.9,38.2,38.2,38.2,38.2,38.2,38.2,38.3,38.3,38.3,38.3,39.5,43.4,50.5,50.5,50.5,51,51.1,51.1,51.1,51.1,51.9,60.4,60.4,60.4,60.4,60.4,60.4,60.4,62.7
208,"DNK","Denmark",15.1,15.2,15.2,15.3,15.3,15.3,15.3,15.3,15.4,15.4,15.6,15.9,16.2,16.2,16.8,17,74.2,74.2,74.7,74.9,74.9,75.2,75.2,75.4,75.4,75.4,75.4,75.4,75.4,75.4
262,"DJI","Djibouti",0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
212,"DMA","Dominica",17.1,17.1,17.1,17.2,17.2,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
214,"DOM","Dominican Republic",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,43,43,43,43,43,48.8,48.8,49.3,49.3,51,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.8,51.8,51.8,51.8
218,"ECU","Ecuador",10.6,22.7,22.7,22.7,23.1,23.2,23.3,23.3,23.7,27.2,27.2,27.3,27.3,27.5,27.5,31.9,32,32.7,32.7,33.8,33.8,33.8,37.9,38.4,38.7,38.7,38.9,39.1,39.2,39.2
818,"EGY","Egypt",7.8,25.7,25.7,30.6,30.7,30.7,30.7,33.5,35.3,35.3,35.3,35.3,39.8,39.8,39.8,39.9,39.9,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7
222,"SLV","El Salvador",0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,8,8,8.9,10.9,11,13.8,16.9,16.9,16.9,17.7,18.1,18.3,18.6,18.7,18.8,18.8,18.8,18.8,18.8,18.8
226,"GNQ","Equatorial Guinea",21.9,21.9,21.9,21.9,21.9,60.7,60.7,60.8,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1,70.1
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.7,13.4,33.9,40.2,40.2,43.7,62.7,62.8,62.8,63.3,70.8,79.6,84.6,89.3,95.1,95.2,95.2,95.9,95.9,95.9,95.9
748,"SWZ","Eswatini",14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.7,14.7,15.2,15.2,15.2,15.2,15.2,17,17,17,17,17
231,"ETH","Ethiopia",34.1,34.1,34.1,34.1,34.1,34.9,34.9,34.9,35,35,35.4,36.2,36.4,36.4,36.4,37.5,44.1,44.4,44.8,45,45.2,45.6,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.4
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,1.1,2.2,2.4,7.4,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
246,"FIN","Finland",1.2,1.4,1.4,1.7,1.7,1.8,1.8,1.9,1.9,2.2,2.4,2.7,2.8,3,3.1,3.3,3.5,3.6,3.9,4.2,64.1,64.3,66.7,67,67.8,67.9,67.9,67.9,67.9,67.9
250,"FRA","France",16.9,18.6,19,21.5,21.9,22,30.8,30.9,31.9,32.6,32.7,33.4,50.2,51.9,53.2,63.4,64,64.9,65.2,67.1,67.6,68.2,68.5,69.5,69.9,70.2,71.6,71.6,71.6,71.6
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",19.3,19.3,19.3,19.9,19.9,19.9,19.9,77,77,77,77,77,81.2,81.2,87,87,87,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1,87.1
270,"GMB","Gambia",10.8,20,20,20,20,20,20,20,20,20,20,20,22.6,25.1,25.1,25.1,25.1,25.1,25.1,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9
268,"GEO","Georgia",9.9,10.4,10.4,11,11,11,11,11,15.8,15.8,15.8,16.7,21.6,21.6,21.6,21.6,22.2,22.6,22.6,24.5,24.5,24.5,24.5,24.5,24.5,24.5,28.7,28.7,28.7,28.7
276,"DEU","Germany",49.9,51.5,56.7,61.5,63.5,66.3,71.8,73,75.6,86.9,90.7,91.6,92.4,93.2,93.3,93.8,94,94.1,94.2,94.3,94.5,97.7,97.9,98.1,98.3,98.3,98.3,98.3,98.3,98.3
288,"GHA","Ghana",78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2
300,"GRC","Greece",8.6,8.8,10.3,10.5,10.6,10.7,13.2,16.7,17,17.3,18.6,19.2,19.4,23.9,25.1,32.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.5
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",9.9,10.5,10.5,10.5,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,12.5,12.5,12.5,12.5,12.5,12.5,14.2
320,"GTM","Guatemala",17.9,20.4,21.2,21.4,22.1,22.6,23,23.2,23.3,23.7,24.3,29.1,29.9,30,30.1,30.4,30.6,30.6,30.9,31.9,31.9,32,32.5,32.5,33,33,33,33,33,33
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",25.5,25.5,25.5,25.5,25.5,25.5,25.5,54.2,54.2,54.2,56.8,56.8,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,59,59,59,65
624,"GNB","Guinea-Bissau",31.8,31.8,31.8,31.8,31.8,39.4,39.4,39.4,39.4,39.4,40.6,40.6,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,79.4
328,"GUY","Guyana",5.9,16,16,16,16,16,16,16,16,16,16,18,27,27,27,27,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3
332,"HTI","Haiti",5,5,5,5,5,5,5,5,5,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,7.9,9.6,11.5,11.5,20,20,20,20,21.2,21.2,21.2,21.2
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",53.2,53.3,53.3,53.3,54.1,54.3,54.3,54.3,54.4,54.4,56.7,57.6,57.6,57.6,57.6,58.5,58.5,60.1,60.5,60.5,60.5,61.2,61.2,61.4,61.9,61.9,61.9,61.9,61.9,61.9
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",2.1,2.1,3.5,3.6,3.7,3.7,3.7,3.7,3.7,30.6,30.6,30.6,30.7,31.1,31.1,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3,83.3
352,"ISL","Iceland",21,21.1,21.1,21.1,21.1,21.1,22,22.1,22.3,25.4,26.4,26.4,26.5,26.5,42.6,42.6,43.1,43.1,46.7,46.7,46.7,47,47,47,47,47.9,49.7,49.7,49.7,49.7
356,"IND","India",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
360,"IDN","Indonesia",0.1,0.1,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.7,2.7,2.8,2.9,2.9,2.9,2.9,3.2,3.2,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,43.2
364,"IRN","Iran",18.7,19.2,19.2,19.2,19.5,20.1,22.3,23.3,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25.4
368,"IRQ","Iraq",0,0,0,0,0,0.1,0.1,0.1,2.8,2.8,2.8,2.8,6.4,6.4,6.4,6.4,6.5,6.5,6.5,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8
372,"IRL","Ireland",1.4,2.2,2.2,2.2,2.2,2.2,2.2,2.3,4,4.2,8.6,9.7,25,25,25,25,25.1,25.1,25.1,25.1,25.1,26,27.9,31,37.7,39.6,39.6,39.6,39.6,93.8
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",25.4,27,27,27,27,27,27.1,27.4,28.9,29,29.4,29.4,29.8,31.2,31.7,32.4,32.5,32.5,32.7,32.8,32.8,32.9,33.2,33.8,34,34,34,34,34,34
380,"ITA","Italy",4.5,6.2,7.2,7.8,8.6,8.7,8.7,8.8,9.2,9.7,13,15.6,17,17,18,18,18,18,19.8,22.3,26.7,34.5,45.3,50,56.3,56.7,56.7,56.7,56.7,57.6
388,"JAM","Jamaica",21.9,21.9,23.4,23.5,29.8,29.8,29.8,29.8,29.8,30.4,30.4,30.4,30.4,30.4,30.5,30.8,30.8,30.8,30.8,31.2,31.2,31.6,31.6,31.6,31.6,31.6,32.4,32.4,32.4,32.4
392,"JPN","Japan",28,28,28.5,28.6,28.6,29.1,29.6,30.2,31,31.9,32.5,33.4,35.7,35.9,36.6,37.7,38.8,39.9,41.4,44.3,45.3,48.6,56.3,58.7,58.8,58.9,58.9,58.9,58.9,58.9
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.1,4.1,4.1,4.1,4.1,4.1,4.3,4.8,5,5.2,5.2,5.2,6.8,6.8,13.4,13.4,13.5,13.5,13.5,13.5,13.5
398,"KAZ","Kazakhstan",3,7,7,7.3,7.4,7.6,31.6,31.6,33.1,33.5,48.7,49.1,50.9,51,53.4,54.3,54.6,57.4,57.4,57.4,57.4,57.4,57.4,58.3,58.3,58.3,58.3,58.3,58.3,58.3
404,"KEN","Kenya",44.3,44.3,44.3,44.3,44.3,48.8,49,49.2,49.2,49.4,49.5,49.6,49.6,49.6,49.8,50.2,50.2,51.3,51.3,51.3,51.3,51.3,51.4,51.4,51.4,51.5,51.5,51.5,51.5,54.4
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",13,13,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.8,67.8,67.8,67.8,67.8,71.2,71.4,71.4,71.4,71.4,71.4,71.4,71.5,71.5,71.5
417,"KGZ","Kyrgyzstan",12.5,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.3,13.3,13.4,13.4,13.4,13.4,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
418,"LAO","Laos",34.2,38,38,38,38,38.1,38.1,38.1,38.1,38.1,38.7,38.7,38.7,40.8,40.8,40.9,42.6,44.8,44.8,44.8,44.8,44.8,44.8,44.8,59.8,62.5,65.8,66.2,66.2,66.2
428,"LVA","Latvia",0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.7,78.6,78.9,79.2,79.3,79.3,83,83,83,83,83,83,83,83.2,83.2,83.4,83.7,83.7,83.7,83.7,83.7,84.2
422,"LBN","Lebanon",0.7,2.7,2.7,2.7,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3
426,"LSO","Lesotho",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,60.1
430,"LBR","Liberia",6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,14.6,14.6,14.6,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,15
434,"LBY","Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,27.7,37.4,39.4,39.4,39.4,49.7,53,53.1,53.1,53.1,53.4,53.4,53.4,53.4,56.7,63.5,68.1,68.1,68.1,68.1,94.5
442,"LUX","Luxembourg",38.5,38.5,38.5,38.6,49.2,49.2,49.2,49.4,49.5,58,59.1,59.3,59.4,59.4,92.6,92.6,92.6,92.6,92.6,92.8,93.1,96.1,96.8,97.9,98.3,99.9,100,100,100,100
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",27.4,27.4,34,34.9,34.9,34.9,34.9,34.9,36.2,36.2,36.3,36.4,36.4,36.4,36.4,37.9,37.9,38,38,38,38,38,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9
454,"MWI","Malawi",75.3,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,79.2,79.2,79.8,79.8,79.8,79.8,79.8,79.8,79.8,81.4
458,"MYS","Malaysia",23.2,23.2,23.8,23.8,23.9,24.1,24.4,29.6,29.7,29.8,30.5,31.4,40,41.7,41.9,44.3,47.8,48.9,52.7,55.3,56.8,56.9,56.9,56.9,56.9,56.9,56.9,56.9,56.9,57.7
462,"MDV","Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"MLI","Mali",30.6,30.6,30.6,30.6,30.6,30.6,31.1,34,34,66.1,66.1,66.4,67.5,67.5,67.5,68.4,68.7,70,70.5,70.5,70.5,70.9,70.9,70.9,70.9,70.9,71,71,71,71
470,"MLT","Malta",0.2,1.2,1.2,1.2,1.4,1.4,3.3,3.7,3.9,3.9,3.9,4.2,4.2,5.1,5.1,5.2,6.6,10.3,10.3,10.3,10.3,27,31.6,31.6,31.9,31.9,33.7,33.7,33.7,34.6
584,"MHL","Marshall Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
478,"MRT","Mauritania",4.6,4.6,4.6,4.6,4.6,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2
480,"MUS","Mauritius",9.7,9.7,9.7,9.7,9.7,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.7,10.7,10.7,10.7,11,11,11,11,11,11,11,11,11,11,11,11,11,11
484,"MEX","Mexico",4.1,4.6,4.8,4.8,5,9.8,10.3,14.7,17,19.7,20.9,21.6,21.8,23.8,25.4,25.9,26.5,26.8,27.3,27.4,27.4,27.4,27.7,27.9,28,28,28.2,28.3,28.3,28.3
583,"FSM","Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,"MDA","Moldova",4.3,4.4,4.4,4.4,4.4,6.9,6.9,6.9,15.4,15.4,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,68.4
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",47.5,57.3,58.6,61,63,68.3,68.3,69.5,71.2,72.7,72.7,73,73,74.1,74.1,75.8,78.8,80.4,80.4,80.4,80.4,80.7,80.8,80.8,82.5,82.5,82.5,82.5,82.5,82.5
499,"MNE","Montenegro",20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8,22.6,24.5,24.5,24.5,28.3,28.3,28.3,28.3,28.3,28.3,43.9,43.9,44.6,44.6,46.7,47,47,47,47,47.1
504,"MAR","Morocco",2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.8,4,4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,57.7,57.9,57.9,57.9,57.9,57.9,57.9
508,"MOZ","Mozambique",25.4,25.4,25.4,28.2,28.2,28.4,33.6,35.7,38.4,47.4,47.4,47.4,47.4,47.5,47.5,54.5,54.6,55.4,56.6,56.6,56.6,56.6,56.6,56.6,58.3,58.3,58.3,58.3,58.3,69.6
104,"MMR","Myanmar",4.4,4.6,4.6,7.7,7.7,7.7,8.6,10.1,12.4,21.1,22.5,22.5,22.5,22.5,22.5,32.2,32.2,32.2,32.2,32.8,32.8,33,33.3,33.6,33.7,34.3,34.3,34.3,34.3,34.3
516,"NAM","Namibia",42.5,42.6,42.6,46.7,49.5,49.5,54,56.8,65,66.3,71.8,73.8,74.2,78.9,79.4,80.7,82.6,83.4,84.3,84.4,84.4,84.4,84.4,84.5,84.6,84.6,84.6,84.6,84.6,84.6
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",26.8,29.1,29.1,35.6,37.6,37.6,37.6,38,38,39.5,40.2,42.1,42.4,42.4,42.4,48.4,48.4,48.4,48.4,48.4,48.4,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8,48.8
528,"NLD","Netherlands",23.3,25.8,26.5,30.2,30.2,30.5,30.5,30.6,30.8,31,31.1,31.1,31.1,31.2,31.6,33.9,34.4,34.4,38,40,40.2,40.2,40.2,40.5,40.5,40.5,40.5,40.5,40.5,40.5
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",35.3,37.9,38.3,38.9,39.1,39.1,39.3,41.8,42.5,42.7,43.1,43.2,44.4,45.2,45.7,46,46.1,46.3,46.3,47.1,49.4,49.4,49.5,49.5,49.6,49.6,49.6,49.6,49.6,50.2
558,"NIC","Nicaragua",17.2,17.2,17.2,17.2,43.1,43.1,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.7,71.8,71.8,71.8,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9,72.9
562,"NER","Niger",25.8,25.8,25.8,25.8,25.8,25.8,30.6,33.4,33.4,46.4,54,54,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,66.9,66.9,78.1,78.1,78.1,78.1,78.1,78.1
566,"NGA","Nigeria",18.1,18.1,18.1,18.1,19.2,19.4,19.4,19.4,19.4,19.5,19.5,19.5,19.5,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,68.8
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
