"code","iso","country","USX.ind.1995","USX.ind.1996","USX.ind.1997","USX.ind.1998","USX.ind.1999","USX.ind.2000","USX.ind.2001","USX.ind.2002","USX.ind.2003","USX.ind.2004","USX.ind.2005","USX.ind.2006","USX.ind.2007","USX.ind.2008","USX.ind.2009","USX.ind.2010","USX.ind.2011","USX.ind.2012","USX.ind.2013","USX.ind.2014","USX.ind.2015","USX.ind.2016","USX.ind.2017","USX.ind.2018","USX.ind.2019","USX.ind.2020","USX.ind.2021","USX.ind.2022","USX.ind.2023","USX.ind.2024"
214,"DOM","Dominican Republic",12.6,12.9,13.4,13.9,14.5,15.2,15.4,15.8,16.3,16.4,16.6,17.1,17.7,18.9,20,21.1,22.1,23.1,24,24.5,25.2,26.3,27.1,27.9,28.7,29.4,30.1,30.1,30.1,30.1
218,"ECU","Ecuador",19.2,19.7,20.3,20.8,21.5,22,22.6,23.3,24,24.7,25.7,26.8,27.8,28.9,30.1,31.2,32.6,33.9,35,36.2,37.4,38.2,39,39.8,40.5,41,41.5,41.5,41.5,41.5
818,"EGY","Egypt",12.7,14.1,15.1,16.1,17,18,19.8,21.7,23.6,25.1,26.5,27.5,28.7,30.2,31.2,32.4,34,35.5,37,38.5,39.9,41.2,42.4,43.7,45,46.2,47.4,47.4,47.4,47.4
222,"SLV","El Salvador",10.5,11.2,12,12.8,13.8,14.8,15.8,16.7,17.5,18.1,18.8,19.5,20.2,21,21.8,22.7,23.9,25.4,27,28.9,30,30.6,31,31.4,32.1,32.7,33.2,33.2,33.2,33.2
226,"GNQ","Equatorial Guinea",1.7,2.1,2.9,3.6,4.4,5.4,6.5,7.6,8.7,9.9,11.1,12.3,13.6,15,16.3,17.5,18.8,20.5,22.3,23.9,25.5,26.8,27.9,28.9,29.8,30.7,31.5,31.5,31.5,31.5
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0.3,0.6,0.9,1.1,1.3,1.5,1.7,1.9,2.1,2.2,2.3,2.5,2.7,2.8,3,3.2,3.4,3.6,3.8,3.8,3.8,3.8
233,"EST","Estonia",67.8,69.2,70.6,71.4,72.4,73.9,75.5,76.9,78.1,78.4,78.9,79.1,79.6,80.9,81.7,82.6,83.5,84.1,84.8,84.9,84.8,85.4,86.9,87.4,87.9,88.1,88.3,88.3,88.3,88.3
748,"SWZ","Eswatini",4.7,4.9,5.1,5.3,5.5,5.7,5.9,6.1,6.3,6.5,6.7,7,7.6,8.2,9,9.8,10.3,11,11.7,12.4,12.8,13.1,13.5,13.8,14.2,14.5,14.8,14.8,14.8,14.8
231,"ETH","Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",15.3,15.8,16.3,16.8,17.3,17.7,18.1,18.6,18.9,19.3,19.6,20,20.2,20.7,21.1,21.5,22,22.5,23.1,23.7,24.6,25.3,26,26.6,27.3,27.8,28.3,28.3,28.3,28.3
246,"FIN","Finland",81.3,82.8,84.3,85.7,87,88.4,89.9,91.9,92.8,93.7,94.8,95.7,96.8,98,99.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
250,"FRA","France",77.9,79.4,80.8,82.2,83.3,84.4,85.7,87.5,88.4,89.2,90.1,91.2,92.3,93.2,94.3,95.6,97,97.7,98.5,99.3,100,100,100,100,100,100,100,100,100,100
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",4.6,4.9,5.1,5.4,5.6,5.8,6.2,6.5,6.9,7.4,7.9,8.5,9,9.6,10.1,10.7,11.4,12.2,12.9,13.5,14.2,14.8,15.4,16.1,16.7,17.3,17.9,17.9,17.9,17.9
270,"GMB","Gambia",4,4.1,4.3,4.5,4.8,5.1,5.2,5.3,5.5,5.8,6,6,6.1,6.3,6.5,6.8,7,7.4,7.8,8.1,8.4,8.6,8.9,9.2,9.6,10,10.3,10.3,10.3,10.3
268,"GEO","Georgia",35,34.4,33.9,33.4,33.1,33.1,33.5,34.2,34.8,34.8,34.7,35.5,36,36.3,36.5,36.8,37.6,38.5,39.4,40.3,41.4,42.8,43.4,43.9,44.3,44.5,44.7,44.7,44.7,44.7
276,"DEU","Germany",94.1,95.2,95.9,96.7,97.4,98.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
288,"GHA","Ghana",4.9,5,5.1,5.2,5.3,5.5,5.6,5.9,6.2,6.5,6.7,7,7.3,7.9,8.4,9,9.7,10.4,11.2,11.9,12.6,13.2,13.8,14.4,15,15.6,16.1,16.1,16.1,16.1
300,"GRC","Greece",64.8,66.7,68.8,70.9,73.1,75,76.7,77.9,79.1,80.3,81.1,82,82.8,83.5,84.4,85.3,86.2,86.8,87.1,87.4,87.6,88,88.4,88.8,89.4,89.6,89.9,89.9,89.9,89.9
304,"GRL","Greenland",55.4,55.8,56.7,58.1,59.3,60.3,61.7,63.4,64.7,65.8,67.2,68.8,69.8,70.9,72,73.4,74.7,75.4,75.8,76.3,76.9,77.8,78.7,79.1,79.7,80.2,80.7,80.7,80.7,80.7
308,"GRD","Grenada",21.3,22.5,23.7,25.1,26.6,28,29.1,30.4,31.8,33,34.4,35.2,36,37.1,38,38.8,39.6,40.3,41.1,41.7,42.3,42.9,43.7,44.5,45.3,45.8,46.4,46.4,46.4,46.4
320,"GTM","Guatemala",12.4,13.2,14.2,15.4,16.3,17.1,17.9,18.8,19.8,20.5,21.1,21.8,22.7,23.7,24.2,24.8,25.5,26.3,27.1,28.2,29,29.5,30,30.5,31.2,31.8,32.4,32.4,32.4,32.4
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",0,0,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.4,1.6,1.8,2.1,2.4,2.7,3.1,3.4,3.7,4,4.4,4.7,5,5.3,5.3,5.3,5.3
624,"GNB","Guinea-Bissau",0.5,0.6,0.7,0.8,0.8,0.9,1,1,1,1.1,1.1,1.1,1.5,1.8,2.2,2.6,3,3.5,4,4.6,4.9,5.2,5.5,5.8,6.1,6.4,6.7,6.7,6.7,6.7
328,"GUY","Guyana",23.8,24.7,25.7,26.7,27.8,28.7,29.4,30.2,30.9,31.6,32.2,32.9,33.6,34.5,35.5,36.4,37.4,38.4,39.6,40.8,41.6,42.4,43.2,44.1,44.9,46.3,47.6,47.6,47.6,47.6
332,"HTI","Haiti",3.9,4,4.2,4.4,4.6,4.9,5.1,5.3,5.4,5.6,5.7,6,6.4,6.7,7.1,7.4,7.8,8.1,8.4,8.6,8.9,9.1,9.2,9.4,9.6,9.8,9.9,9.9,9.9,9.9
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",9.7,10.3,10.9,11.5,12.2,13,13.7,14.4,15.2,16,16.5,17.1,17.6,18.1,18.6,19.1,19.8,20.3,20.9,21.6,22.2,22.8,23.3,23.8,24.5,25.1,25.7,25.7,25.7,25.7
344,"HKG","Hong Kong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"HUN","Hungary",56.5,59,61.2,63.4,65.3,67.2,69.4,72.9,76.5,77.1,77.6,77.9,78,77.9,78.1,78.2,77.8,78,78.2,78.7,79.4,80.2,81.2,82,83,83.7,84.5,84.5,84.5,84.5
352,"ISL","Iceland",83.9,85.1,86.3,87.7,89.3,91.1,92.9,94.9,95.9,96.6,97.4,98.3,99.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
356,"IND","India",0.3,0.6,0.9,1.2,1.5,1.9,2.3,2.6,3.1,3.5,4,4.4,4.9,5.4,6,6.6,7.2,8,8.8,9.8,10.8,11.9,13,14,15.1,15.8,16.5,16.5,16.5,16.5
360,"IDN","Indonesia",8.3,9.2,10.1,10.9,11.8,12.6,13.4,14.2,15,15.7,16.4,17.3,18.3,19.4,20.6,21.7,23,24.2,25.2,26.2,27.1,27.9,28.5,29.3,30.1,30.8,31.4,31.4,31.4,31.4
364,"IRN","Iran",10.6,11.3,11.8,12.4,13.1,14,15,16,17.1,18,18.9,19.7,21.2,23,25,27,28.8,30.3,31.3,32.3,33.1,33.7,34.6,35.5,36.1,36.6,37.1,37.1,37.1,37.1
368,"IRQ","Iraq",19.7,20.5,21.4,22.6,24.1,25.6,26.9,28.1,28.9,30.3,31.5,32.9,34.3,36,38.2,40.3,42.9,45,47,48.9,50.7,52.7,54.5,56.2,57.8,59.2,60.5,60.5,60.5,60.5
372,"IRL","Ireland",61.6,63.1,64.9,66.9,69.1,71.3,73.6,75.7,77.3,78.9,80.1,81,81.9,82.9,84.1,85.6,87,87.8,88.4,89.1,90.2,91.1,92.1,93.2,94.2,94.8,95.2,95.2,95.2,95.2
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",73.7,75.2,76.5,78,79.3,80.7,82,83.5,84.5,85.6,86.6,87.5,88.2,88.8,89.6,90.7,91.9,92.5,93.2,93.7,94.3,94.6,95.1,95.6,96.1,96.3,96.6,96.6,96.6,96.6
380,"ITA","Italy",75.5,76.5,77.5,78.5,79.2,80.2,81.1,82.1,82.7,83.2,84,84.5,85,85.6,86.2,87,87.6,88.3,88.8,89.4,90,90.5,91.1,91.6,92.2,92.6,92.9,92.9,92.9,92.9
388,"JAM","Jamaica",19.1,20,21.1,22.1,23.4,24.6,25,25.4,26,26.4,27.2,28,28.7,29.4,30.2,30.9,31.6,32.2,32.8,33.3,33.6,33.9,34.2,34.6,35,35.2,35.4,35.4,35.4,35.4
392,"JPN","Japan",74.4,75.6,76.8,78,79.1,80.2,81.4,82.5,82.8,83.1,83.3,83.6,83.7,84,84.5,85.1,85.9,85.9,86,86.2,86.5,86.8,87.2,87.7,88.2,88.5,88.9,88.9,88.9,88.9
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",30.5,31.4,32.2,32.4,32.6,32.9,33.3,33.7,35.3,37.1,39.6,42.1,44.6,48.1,51.9,54.5,57.1,59.8,60.5,61.2,61.7,62.2,63.2,64.1,65,65.7,66.4,66.4,66.4,66.4
398,"KAZ","Kazakhstan",35.9,37.6,39.1,40.5,41.8,44.3,47.1,49.9,51.7,53.6,55.6,57.7,59.2,60.7,62.2,63.8,65.2,66.5,68,69.6,71.3,72.1,72.4,72.6,73,73.2,73.5,73.5,73.5,73.5
404,"KEN","Kenya",5,5.2,5.3,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.5,5.8,5.9,6.2,6.4,6.7,7,7.3,7.6,8,8.5,8.9,9.3,9.7,9.7,9.7,9.7
296,"KIR","Kiribati",5.9,6.1,6.4,6.7,7,7.4,7.7,8.1,8.5,8.7,9.1,9.3,9.6,9.8,9.8,9.8,9.9,10,10.1,10.3,10.6,10.9,11.3,11.6,12,12.4,12.7,12.7,12.7,12.7
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",48.6,50.5,52.4,53.9,55.4,56.6,57.5,58.3,59.5,60.9,62.5,64,65.1,66.8,69,71,72.9,74.6,75.9,77.2,78.4,79.4,80.6,81.8,82.7,83.4,84,84,84,84
417,"KGZ","Kyrgyzstan",37.6,37.6,37.6,38.2,38.9,39.6,40.6,41.7,42.9,44.1,45.2,46.3,47.4,48.6,50,51.4,53.2,54.9,56.4,58.4,58.8,59.3,59.8,60,60.3,60.5,60.6,60.6,60.6,60.6
418,"LAO","Laos",0,0,0,0.2,0.5,0.7,1.2,1.7,2.2,2.6,3,3.4,3.9,4.5,5,5.6,6.3,6.8,7.4,8.1,8.8,9.5,10.2,10.8,11.3,11.9,12.3,12.3,12.3,12.3
428,"LVA","Latvia",39,39.6,40.3,40.6,41,41.7,42.7,43.6,44.5,46.5,48.3,49.7,51.3,53.3,55.5,56.5,57.2,58.4,59,59.2,59.6,60.4,60.8,61.3,61.8,62,62.2,62.2,62.2,62.2
422,"LBN","Lebanon",30.2,31.7,34.4,37.3,40.4,43.5,46.9,50.2,53.7,57.4,58.4,59.3,60.4,61.9,63.9,66,68.3,70.7,72.5,73.5,74.7,75.8,77,78.1,79.2,79.9,80.6,80.6,80.6,80.6
426,"LSO","Lesotho",0.9,1.1,1.2,1.4,1.6,1.7,1.9,2,2.1,2.3,2.5,2.6,2.9,3.1,3.4,3.7,4.1,4.5,5,5.5,5.8,6,6.3,6.5,6.7,6.9,7.1,7.1,7.1,7.1
430,"LBR","Liberia",0.6,0.4,0.4,0.4,0.5,0.8,1.1,1.4,1.5,1.6,1.7,1.9,2.2,2.5,2.7,3,3.3,3.7,4.1,4.5,4.9,5.2,5.5,5.8,6,6.3,6.5,6.5,6.5,6.5
434,"LBY","Libya",11.1,12.7,14.1,15.5,16.9,18.3,19.5,20.7,21.9,22.9,23.8,24.6,25.1,27.1,29.2,31.3,32.5,34.2,35,35.5,35.4,35.1,35.2,35.6,35.5,34.3,33.1,33.1,33.1,33.1
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",45.7,46.7,47.7,48.7,49.8,51.4,53,54.2,55.6,56.9,58,58.5,59,60.5,62.4,63.1,63.9,65.4,66.3,67.1,68.1,69.4,70.4,71.3,72.3,72.9,73.5,73.5,73.5,73.5
442,"LUX","Luxembourg",87.2,88.7,90.3,91.8,93,94.1,95.3,97.1,98,98.7,99.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"MDG","Madagascar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,"MWI","Malawi",0.9,1,1,1.1,1.1,1.2,1.2,1.2,1.4,1.4,1.5,1.5,1.7,1.9,2.1,2.2,2.5,2.7,3,3.2,3.5,3.7,3.8,4.1,4.3,4.5,4.7,4.7,4.7,4.7
458,"MYS","Malaysia",26.9,28.2,29.7,31.3,33,34.4,35.2,35.9,36.7,37.4,38.2,38.9,39.6,40.2,40.9,41.8,42.4,43.4,44.3,45.2,46.3,47,47.4,48,48.5,48.9,49.4,49.4,49.4,49.4
462,"MDV","Maldives",7.5,8.8,10.2,11.7,13.4,15.2,17.1,19.1,21.2,23.2,24.9,27,29,31.2,33.1,35.4,38,40.7,43.8,47.1,50.9,54.2,55.2,56.3,57.4,58.2,58.9,58.9,58.9,58.9
466,"MLI","Mali",2.1,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.4,2.6,2.8,3,3.2,3.5,3.8,4.1,4.4,4.5,4.8,5.1,5.3,5.5,5.8,5.8,5.8,5.8
470,"MLT","Malta",65,65.8,67.4,69.6,71.5,73.6,75.5,77.3,78.3,79.5,80.7,81.7,82.9,84.3,85.7,87,88.5,89.4,90.1,90.9,91.8,92.6,93.6,94.5,95.4,96.1,96.7,96.7,96.7,96.7
584,"MHL","Marshall Islands",8.9,9.3,10,10.4,10.8,11.2,11.7,12.1,12.6,13,13.3,13.8,14.4,15.2,15.2,15.4,15.6,15.6,15.6,15.6,15.6,15.5,16,16.4,16.9,17.4,17.8,17.8,17.8,17.8
478,"MRT","Mauritania",3.3,3.4,3.6,3.7,3.8,3.8,4,4.2,4.4,4.6,4.7,5,5.3,5.7,6.1,6.5,7,7.5,8.1,8.7,9.4,9.8,10.2,10.7,11.2,11.6,12,12,12,12
480,"MUS","Mauritius",31.8,33.5,35.3,37.6,39.5,41.7,43.9,46.1,48.5,48.4,48.5,48.7,48.9,49.7,50.5,51.3,52.3,53,54,55.1,56,56.6,57.5,58.5,59.4,60.1,60.8,60.8,60.8,60.8
484,"MEX","Mexico",19.6,20.2,20.9,21.6,22.5,23.4,24.3,25.2,26.2,27.1,28.2,29.2,30,30.9,31.4,32.1,33,33.9,34.7,35.6,36.6,37.3,38,38.8,39.5,40,40.5,40.5,40.5,40.5
583,"FSM","Micronesia",11.1,11.6,12.4,13,13.5,14.2,14.9,15.6,16.3,16.9,17.5,18.3,19,19.9,20,20.1,20.1,20.1,20,19.8,19.6,19.4,19.7,20,20.4,20.8,21.2,21.2,21.2,21.2
498,"MDA","Moldova",24.8,25,25.2,25.2,25.1,25.1,25.2,25.5,25.9,26.3,26.8,27.2,27.6,28,28.2,28.6,29.1,29.4,30.2,31,31.7,32.5,33.1,33.7,34.2,34.6,34.8,34.8,34.8,34.8
492,"MCO","Monaco",98,99.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
496,"MNG","Mongolia",10.1,10.4,10.7,10.9,11.1,11.4,12.1,12.8,13.3,13.9,14.4,14.7,14.7,14.6,15.5,16.4,17.1,17.8,18.8,19.6,20.3,21,22.3,22.9,23.2,23.3,23.5,23.5,23.5,23.5
499,"MNE","Montenegro",57.9,58,58.4,59.1,59.6,60.5,61.6,62.7,63.9,64.8,65.8,66.6,67.6,68.6,69.2,69.8,70.3,70.8,71.2,72,72.8,73.7,74.6,75.4,76.2,76.7,77.1,77.1,77.1,77.1
504,"MAR","Morocco",17.3,17.8,18.3,18.7,19.1,19.5,19.7,20,20.7,21.4,22,22.7,23.6,24.7,26.1,27,28.1,29.2,30.2,31.2,32.3,33.4,34.5,35.6,36.7,37.7,38.7,38.7,38.7,38.7
508,"MOZ","Mozambique",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.3,1.5,1.7,1.8,2,2,2,2
104,"MMR","Myanmar",3.1,3.5,4,4.5,5.2,5.8,6.8,7.7,8.8,9,9.2,9.6,10.1,10.6,11.2,11.3,11.4,11.6,11.9,12.4,12.8,13.4,13.9,14.5,15.1,15.6,16.2,16.2,16.2,16.2
516,"NAM","Namibia",2.4,2.6,2.8,3,3.2,3.3,3.5,3.7,3.9,4.1,4.3,4.5,4.8,5.1,5.4,5.8,6.4,6.8,7.3,7.9,8.5,9,9.4,9.9,10.3,10.6,10.9,10.9,10.9,10.9
520,"NRU","Nauru",14,13.9,14.4,14.5,14.6,14.7,15,15.3,15.7,15.9,16.2,16.8,17.2,18.3,18.6,19,19.5,20,20.9,21.9,22.6,23.1,24.1,25,26,26.9,27.7,27.7,27.7,27.7
524,"NPL","Nepal",0,0,0,0,0,0,0,0,0,0,0.2,0.7,1.2,1.8,2.4,3.1,3.9,4.6,5.4,6.2,6.8,7.4,8,8.7,9.4,10,10.6,10.6,10.6,10.6
528,"NLD","Netherlands",89.4,90.8,92.1,93.5,94.7,95.9,97.3,99,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",65.9,67.1,68.7,69.9,70.8,72.1,73.8,74.9,74.8,75.4,75.4,74.5,74.1,74.6,75.7,76.5,77.2,77.8,78.7,79.3,79.9,80.7,81.4,82.1,82.9,83.3,83.7,83.7,83.7,83.7
558,"NIC","Nicaragua",8.1,8.7,9.3,9.8,10.4,10.9,11.3,11.7,12.1,12.4,12.7,13.2,13.5,13.7,14,14.2,14.6,15.1,15.7,16.3,16.9,17.9,18.4,18.7,19.2,19.5,19.8,19.8,19.8,19.8
562,"NER","Niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7
566,"NGA","Nigeria",4.2,4.3,4.4,4.5,4.6,4.7,4.8,5,5.2,5.5,5.8,6,6.4,6.8,7.2,7.7,8.1,8.5,9,9.5,9.9,10.2,10.6,10.9,11.4,11.8,12.2,12.2,12.2,12.2
570,"NIU","Niue",22.2,22.8,24,24.8,25.6,26.5,27.5,28.5,29.8,30.9,32.3,33.8,35.2,37,37.7,37.8,37.9,37.9,37.8,37.6,37.5,37.1,37.6,38.1,38.7,39.2,39.7,39.7,39.7,39.7
408,"PRK","North Korea",21.7,22.1,22.4,22.8,23.3,23.9,24.6,25.3,26.2,27.1,28.1,29,29.9,30.9,32.6,32.7,32.8,32.8,33,33.1,33.2,33.3,33.4,34,34.6,35,35.4,35.4,35.4,35.4
807,"MKD","North Macedonia",39,39.7,40.6,41.6,42.5,43.6,44.7,45.8,46.7,47.4,48,48.6,49.2,49.7,50.2,50.7,51,51.9,52.9,53.8,54.7,55.6,56.7,57.4,58.1,58.6,59,59,59,59
578,"NOR","Norway",90.7,92.5,94.4,96,97.4,99.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
512,"OMN","Oman",39,41.6,44.4,47.1,49.7,52.4,54.1,55.7,57.5,59.2,60.6,62.2,63.9,66.3,68.4,70.5,72.7,74.8,76.4,77.6,78.7,79.8,80.8,82,82.9,83.6,84.3,84.3,84.3,84.3
586,"PAK","Pakistan",2.7,3,3.3,3.6,3.8,4,4.2,4.4,4.7,4.9,5,5.3,5.6,6.2,6.8,7.4,8.1,8.9,9.4,9.9,10.3,10.9,11.4,11.9,12.6,13.2,13.8,13.8,13.8,13.8
585,"PLW","Palau",31.4,32.3,33.9,34.9,35.8,36.6,37.5,38.4,39.2,39.8,40.5,41.4,42.3,43.6,43.5,43.4,43.3,43.2,43.1,42.9,43,42.8,43.2,43.6,44.2,44.4,44.6,44.6,44.6,44.6
591,"PAN","Panama",16.9,17.1,17.6,18.1,18.6,19.1,19.9,20.5,20.9,21.2,21.5,21.8,22.1,22.5,22.6,22.6,22.9,23.5,24.3,25.6,26.9,28.1,28.7,29.7,30.7,31.6,32.4,32.4,32.4,32.4
598,"PNG","Papua New Guinea",0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,1,1.2,1.3,1.5,1.6,1.7,1.7,1.7,1.7
600,"PRY","Paraguay",20.8,22,23.1,24.3,25.2,26,26.7,27.4,28.8,30.3,30.8,31.4,32.1,32.9,33.1,33.5,33.9,34.2,34.6,35.2,35.5,35.7,36.5,37.2,37.9,38.5,39.1,39.1,39.1,39.1
604,"PER","Peru",16.1,16.7,17.2,17.7,18.1,18.6,19.3,20,20.8,21.6,22.5,23.5,24.6,25.8,26.8,28.1,29.4,30.6,31.8,32.9,34,35,35.8,36.5,37.3,37.8,38.4,38.4,38.4,38.4
608,"PHL","Philippines",15.1,15.7,16.3,16.7,17.2,17.7,18.2,18.6,19,19.6,20.3,21,21.9,22.9,23.7,24.7,25.8,26.9,28.1,29.1,30.2,31.3,32.2,33.1,33.9,34.7,35.4,35.4,35.4,35.4
616,"POL","Poland",57.6,59.1,60.7,62.3,64,65.6,67.4,69.2,70.8,71.3,71.6,71.3,71.1,70.9,71.1,71.3,71.8,73,74,75,75.9,76.7,77.7,78.5,79.3,79.9,80.4,80.4,80.4,80.4
620,"PRT","Portugal",49.9,52.2,54.4,56.6,58.7,60.9,63,65,67,69,71,73.1,75.1,77.1,79.2,81.3,83.5,84.7,85.7,86.5,87.3,88,88.9,89.7,90.5,91.1,91.7,91.7,91.7,91.7
634,"QAT","Qatar",47.3,49.4,51.5,53.4,55.4,57.4,58.9,60.3,61.8,63.2,64.3,65.5,66.5,68,69.9,71.6,73.4,75,76.3,77.6,78.7,79.9,81.3,82.6,83.6,84.6,85.6,85.6,85.6,85.6
178,"COG","Republic of Congo",3.8,3.9,4,4,4.1,4.2,4.2,4.3,4.3,4.4,4.6,4.7,4.8,5,5.1,5.4,5.8,6.3,6.8,7.4,7.8,8.1,8.5,8.8,9.2,9.5,9.8,9.8,9.8,9.8
642,"ROU","Romania",33.8,34.4,34.8,35.3,36,36.7,38,38.9,39.8,40.9,41.6,41.9,42.4,42.7,43.3,44.3,44.3,45.4,46.5,46.9,47.7,48.2,48.8,49.2,49.6,49.8,50,50,50,50
643,"RUS","Russia",44.1,44.6,44.7,45,45.3,45.2,45.4,45.7,46.2,45.8,45.6,44.8,44,45,46.1,47.2,47.9,48.7,49.6,50.4,51.2,51.9,52.6,53.2,53.9,54.3,54.7,54.7,54.7,54.7
646,"RWA","Rwanda",9,9,9.1,9.2,9.4,9.6,9.8,10.1,10.4,10.8,11.3,11.7,12.2,12.3,12.6,12.9,13.2,13.3,13.4,13.6,13.9,14.3,14.8,15.2,15.6,15.9,16.2,16.2,16.2,16.2
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",30.1,31,32,32.9,34.1,35.2,36.2,37.4,38.4,39.4,40.7,42,43,44.4,45.9,47.2,48.5,49.6,50.7,51.6,52.3,52.8,53.5,54.2,54.9,55.4,55.9,55.9,55.9,55.9
662,"LCA","Saint Lucia",19.3,20.6,21.9,23.4,24.8,26.3,27.3,28.5,30,31.4,32.9,34.4,36,37.9,39.8,41.7,43.6,45.8,46.3,46.9,47.5,48.1,48.7,49.3,49.9,50.3,50.7,50.7,50.7,50.7
670,"VCT","Saint Vincent and the Grenadines",18.1,18.9,19.8,20.7,21.8,22.8,23.5,24.3,25.2,26,26.9,27.8,28.6,29.6,30.6,31.5,32.4,33.2,34,34.7,35.2,35.7,36.2,36.8,37.4,37.9,38.4,38.4,38.4,38.4
882,"WSM","Samoa",32.9,33.5,34.4,36.1,37.9,39.9,42.2,44.4,46.8,48.9,51,53.2,55.2,57.1,57.5,57.7,58,58.3,58.6,58.8,59.1,59.4,59.9,60.3,61,61.6,62.1,62.1,62.1,62.1
